Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other
Abelia triflora,Indian Abelia,Shrub,3.5,5-9,M,LM,SN,DM,0,0,1
Abelmoschus esculentus,Okra,Annual,1.0,5-11, ,LMH,N,M,4,3,2
Abelmoschus manihot,Aibika,Perennial,3.0,8-11,F,LMH,N,M,4,1,2
Abelmoschus moschatus,"Musk Mallow,Musk Okra",Perennial,2.0,8-11,F,LMH,N,M,2,3, 
Abies alba,"Silver Fir, Christmas Tree Fir, European Silver Fir, Silver",Tree,45.0,5-8,F,LMH,FSN,M,2,3,4
Abies amabilis,"Red Fir,Pacific silver fir",Tree,30.0,4-8,S,LMH,FSN,M,1,2, 
Abies balsamea,Balsam Fir,Tree,15.0,3-6,S,LMH,FSN,M,3,5, 
Abies cephalonica,Grecian Fir,Tree,36.0,4-8,M,LMH,FSN,M,0,0, 
Abies concolor,"Colorado Fir, White fir",Tree,45.0,3-7,F,LMH,FSN,DM,0,2, 
Abies delavayi, ,Tree,25.0,6-9,S,LMH,FSN,M,0,0, 
Abies firma,"Momi Fir, Japanese Fir",Tree,30.0,6-9,M,LMH,FSN,M,1,0, 
Abies fraseri,"She Balsam, Fraser fir, Southern Balsam Fir",Tree,15.0,4-7,F,LMH,FSN,M,1,3,0
Abies grandis,"Grand Fir, Giant Fir, Lowland White Fir",Tree,75.0,5-6,F,LMH,FSN,M,2,2, 
Abies homolepis,Nikko Fir,Tree,36.0,4-7,M,LMH,FSN,M,0,0, 
Abies lasiocarpa,"Subalpine Fir, Alpine Fir",Tree,25.0,5-6,S,LMH,FSN,M,2,2, 
Abies magnifica,"Californian Red Fir, Shasta red fir",Tree,60.0,4-8,M,LMH,FSN,M,0,0, 
Abies mariesii, ,Tree,20.0,5-9,S,LMH,FSN,M,0,0, 
Abies nordmanniana,"Caucasian Fir, Christmas Tree Fir, Nordmann",Tree,50.0,4-6,M,LMH,FSN,M,0,0, 
Abies pindrow,West Himalayan Fir,Tree,30.0,5-7,S,LMH,FSN,M,0,0, 
Abies procera,Noble Fir,Tree,60.0,5-6,M,LMH,FSN,M,0,1, 
Abies recurvata, ,Tree,35.0,5-9,M,LMH,FSN,M,0,0, 
Abies religiosa,Sacred Fir,Tree,40.0,7-10,F,LMH,FSN,M,0,1, 
Abies sachalinensis,Sakhalin Fir,Tree,30.0,3-6,S,LMH,FSN,M,0,0, 
Abies sibirica,Siberian Fir,Tree,30.0,-, ,LMH,FSN,M,0,1, 
Abies spectabilis,Himalayan Fir,Tree,30.0,6-9,S,LMH,FSN,M,0,2, 
Abies squamata,Flaky Fir,Tree,30.0,5-9,S,LMH,FSN,DM,0,0, 
Abies veitchii,"Veitch Fir, Christmastree",Tree,25.0,3-7,F,LMH,FSN,M,0,0, 
Abies veitchii sikokiana, ,Tree,30.0,3-7, ,LMH,FSN,M,0,0, 
Abobra tenuifolia,Cranberry Gourd,Perennial Climber,3.5,8-11, ,LM,N,DM,1,0, 
Abroma augusta,Cotton Abroma. Perennial Indian Hemp.,Shrub,3.0,10-12,F,LMH,N,M,0,3,4
Abronia fragrans,Snowball Sand Verbena,Perennial,0.6,7-10, ,LM,N,DM,2,1, 
Abronia latifolia,"Sand Verbena, Coastal sand verbena",Perennial,0.1,7-10, ,L,N,DM,2,0, 
Abronia turbinata,Transmontane Sand Verbena,Perennial,0.1,-, ,L,N,DM,0,1, 
Abronia villosa,Desert Sand Verbena,Annual,0.1,7-10, ,L,N,DM,0,1, 
Abutilon megapotamicum,Trailing Abutilon,Shrub,2.0,7-10,F,LMH,SN,M,4,0,0
Abutilon ochsenii, ,Shrub,4.0,7-10, ,LMH,SN,M,3,0, 
Abutilon pictum,"Abutilon, Parlour Maple, Flowering Maple, Spotted",Shrub,5.0,8-10,M,LMH,SN,M,3,0, 
Abutilon purpurascens, ,Shrub,2.4,8-11, ,LMH,SN,DM,2,0, 
Abutilon species, ,Shrub,3.0,7-10, ,LMH,SN,M,3,0, 
Abutilon theophrasti,"China Jute, Velvetleaf, Butterprint Buttonweed Jute, China Mallow, Indian Velvet Leaf",Annual,1.0,0-0, ,LMH,SN,DM,3,2,4
Abutilon vitifolium, ,Shrub,8.0,7-10, ,LMH,SN,M,3,0, 
Abutilon x hybridum,"Chinese Lantern, Flowering Maple",Shrub,3.0,9-11,F,LMH,SN,M,3,0,0
