Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other
Alnus incana,"Grey Alder, Speckled alder, Thinleaf alder, White Alder",Tree,18.0,2-6,F,MH,SN,DMWe,0,0,3
Alnus serrulata,"Smooth Alder, Hazel alder",Shrub,4.5,3-9, ,MH,N,MWe,0,2,2
Ardisia sieboldii,Duo Zhi Zi Jin Niu,Shrub,6.0,0-0, ,LMH,S,M,1,0,0
Babiana plicata,Baboon Root,Corm,0.2,8-11, ,L,N,DM,1,0, 
Baccharis genistelloides,Carqueja,Perennial,2.0,10-12, ,LMH,N,MWe,0,4,0
Baccharis halimifolia,"Bush Groundsel, Eastern baccharis, High Tide Bush, Sea Myrtle, Salt Bush",Shrub,3.5,4-8,M,LMH,N,DM,0,1, 
Baccharis patagonica, ,Shrub,3.0,7-10,S,LMH,N,M,0,0, 
Baccharis pilularis,"Dwarf Chaparral Broom, Coyotebrush , Chaparral Broom",Shrub,0.5,8-10,F,LMH,N,DM,0,1, 
Baccharis viminea,Mule's Fat,Shrub,4.0,7-10, ,LMH,N,DM,1,1, 
Baccharoides hymenolepis,Baccharoides,Shrub,4.0,10-12,F,LMH,N,M,4,2,3
Backhousia myrtifolia,Grey Myrtle,Shrub,12.0,8-11, ,LM,N,M,0,0, 
Bacopa monnieri,"Herb of Grace, Brahmi, Smooth Water Hyssop",Perennial,0.3,8-11,F,LMH,SN,MWe,3,4,1
Bactris gasipaes,"Peach Palm, Pupunha",Tree,15.0,11-12,F,LMH,SN,M,5,2,4
Baeckea gunniana, ,Shrub,1.5,8-11, ,LM,N,M,1,0, 
Baikiaea plurijuga,"Rhodesian Teak, Zambesi Redwood",Tree,15.0,10-12,S,LMH,SN,M,1,2,4
Baillonella toxisperma,"African Pearwood, False Shea Butternut",Tree,50.0,10-12,F,LMH,SN,M,3,3,4
Balanites aegyptiaca,"Desert Date. Desert date, Soapberry tree",Tree,6.0,10-12,S,LMH,N,MWe,3,2,3
Ballota acetabulosa, ,Perennial,0.5,7-10, ,LMH,N,DM,0,0, 
Ballota nigra,Black Horehound,Perennial,0.9,7-10, ,LMH,FSN,M,0,3, 
Ballota pseudodictamnus, ,Perennial,0.6,7-10, ,LMH,N,DM,0,0, 
Balsamorhiza deltoidea,Deltoid Balsamroot,Perennial,0.6,4-8, ,LM,N,DM,4,1, 
Balsamorhiza hookeri,"Balsam Root, Hooker's balsamroot, Hairy balsamroot, Idaho balsamroot, Rabbithead balsamroot, Negle",Perennial,0.3,4-8, ,LM,N,DM,4,1, 
Balsamorhiza incana,Hoary Balsamroot,Perennial,0.9,4-8, ,LM,N,DM,3,1, 
Balsamorhiza sagittata,"Oregon Sunflower, Arrowleaf balsamroot",Perennial,0.3,4-8, ,LM,N,DM,4,2,2
Bambusa atra,Clumping Bamboo. Long pipe bamboo.,Bamboo,8.0,10-12,F,LMH,N,MWe,2,0,3
Bambusa bambos,Giant Thorny Bamboo,Bamboo,30.0,10-12,F,MH,SN,M,3,3,5
Bambusa blumeana,"Spiny Bamboo. Spiny bamboo, Thorny bamboo",Bamboo,20.0,10-12,F,MH,N,M,2,0,3
Bambusa heterostachya,Malay Dwarf Green,Bamboo,8.0,10-12,F,LMH,SN,M,0,0,3
Bambusa multiplex,"Hedge Bamboo, Chinese Goddess Bamboo",Bamboo,4.5,8-11,F,LM,SN,M,2,0, 
Bambusa nutans,"Nodding Bamboo, Mai bong",Bamboo,12.0,9-10,F,LMH,SN,M,2,0,4
Bambusa odashimae,Odashimae Bamboo,Bamboo,15.0,9-12,F,LMH,SN,M,4,0,0
Bambusa oldhamii,"Ryoku-Chiku, Giant Timber Bamboo, Oldham's Bamboo",Bamboo,6.0,9-12, ,LMH,SN,M,2,0,2
Bambusa pervariabilis,Clumping Bamboo,Bamboo,8.0,9-11,F,LMH,SN,M,3,0,4
Bambusa polymorpha,"Burmese bamboo, Jama Betua",Bamboo,12.0,9-12,F,LMH,SN,M,2,0,4
Bambusa textilis,Clumping Bamboo. Weaver's bamboo,Bamboo,8.0,7-11,F,LMH,SN,M,3,0,4
Bambusa tulda,Bengal Bamboo. Spineless Indian bamboo,Bamboo,15.0,10-12,F,LMH,SN,M,2,0,0
Bambusa vulgaris,Common Bamboo,Bamboo,20.0,9-12,F,LMH,SN,M,3,2,4
Banisteriopsis caapi,"Yage, Ayahuasca, Caapi",Climber,30.0,10-12, ,LMH,SN,M,0,4,0
Banksia integrifolia,Coast Banksia,Tree,9.0,8-11, ,LM,N,M,2,0, 
Banksia marginata,Silver Banksia,Tree,9.0,8-11, ,LM,N,M,2,0, 
Baphia nitida,"Camwood, Baphia",Tree,10.0,10-12, ,LMH,N,M,2,2,4
Baphicacanthus cusia, ,Perennial,0.6,-, ,LMH,SN,M,0,2, 
Baptisia australis,"Wild Indigo, Blue wild indigo, Blue False Indigo",Perennial,1.5,3-9,S,LM,N,DM,0,2,2
Baptisia bracteata,"Plains Wild Indigo, Longbract wild indigo, False Indigo, Cream Wild Indigo",Perennial,0.7,4-9,M,LM,N,DM,0,2, 
Baptisia lactea,Wild Indigo,Perennial,2.0,4-8, ,LM,N,M,0,1, 
Baptisia pendula,"White False Indigo, False Indigo",Perennial,1.0,3-9,S,LM,N,M,0,0, 
Baptisia tinctoria,"Wild Indigo, Horseflyweed",Perennial,0.9,4-8, ,LM,N,DM,1,3,2
Barbarea australis, ,Biennial/Perennial,0.5,-, ,LMH,SN,M,2,1, 
Barbarea orthoceras,American Yellowrocket,Perennial,0.5,0-0, ,LMH,SN,M,2,0,0
Barbarea verna,"Land Cress, Early yellowrocket",Biennial,0.3,5-9, ,LMH,FSN,M,3,0, 
Barbarea vulgaris,"Yellow Rocket, Garden yellowrocket",Perennial,0.4,5-9, ,LMH,SN,M,3,1,0
Barringtonia edulis,"Vutu kana, Cut nut",Tree,12.0,10-12,F,LMH,SN,M,3,2,2
Barringtonia novae hiberniae,Pao Nut,Tree,10.0,10-12,F,LMH,N,M,3,2,2
Barringtonia procera,"Pao nuts, Cut nut",Tree,10.0,10-12,M,LMH,SN,M,3,2,2
Basella alba,"Malabar Spinach, Indian Spinach, Ceylon spinach,",Perennial Climber,9.0,9-11,F,LMH,N,M,4,2,2
Bassia scoparia,"Summer Cypress, Burningbush",Annual,0.3,5-9, ,LM,N,M,2,2,1
Bauhinia forficata,Brazilian Orchid Tree,Tree,12.0,10-12,F,LMH,N,M,0,4,3
Bauhinia petersiana,"White bauhinia, Zambezi coffee",Tree,7.0,9-12,F,LM,N,DM,3,2,2
Bauhinia purpurea,"Orchid Tree, Purple Butterfly Tree, Mountain Ebony, Geranium Tree, Purple Bauhinia",Tree,10.0,9-12,F,LM,SN,M,2,2,4
Bauhinia thonningii,"Camel's foot tree, monkey bread",Tree,5.0,10-12,M,LMH,N,DM,3,2,3
Bauhinia vahlii,"Malu Creeper, Adda Leaf, Pahur Camel's Foot Creeper",Climber,20.0,7-11,F,LMH,N,M,2,3,4
Bauhinia variegata,Mountain Ebony,Tree,12.0,8-11, ,LMH,SN,MWe,1,2,2
Beckmannia eruciformis,Sloughgrass,Perennial,1.5,-, ,LMH,SN,MWeWa,2,0, 
Beckmannia syzigachne,American Sloughgrass,Perennial,1.5,-, ,LMH,SN,MWeWa,2,0, 
Begonia grandis evansiana,Hardy Begonia,Perennial,1.0,6-9,M,LMH,S,M,0,2, 
Begonia palmata, ,Perennial,0.4,-, ,LMH,S,M,1,1, 
Begonia picta, ,Perennial,0.2,-, ,LMH,S,M,2,2, 
Beilschmiedia sikkimensis, ,Tree,0.0,-, ,LMH,SN,M,0,0, 
Beilschmiedia tawa,Tawa,Tree,25.0,-, ,LMH,SN,M,2,0, 
Belamcanda chinensis,"Leopard Lily, Blackberry lily, Leopard Flower",Perennial,1.0,4-10,F,LM,SN,M,1,3, 
Bellis perennis,"Daisy, Lawndaisy, English Daisy",Perennial,0.2,4-8,M,LMH,SN,M,2,3,1
Benincasa hispida,Wax Gourd,Annual,6.0,9-11, ,LMH,N,M,3,3, 
Berberidopsis corallina,Coral Plant,Climber,5.0,7-10,M,LMH,FS,M,0,0, 
Berberis aggregata,Salmon Barberry,Shrub,1.5,5-9,M,LMH,SN,DM,3,2,1
Berberis amurensis, ,Shrub,3.5,5-9, ,LMH,SN,DM,2,2, 
Berberis angulosa, ,Shrub,1.0,5-9, ,LMH,SN,DM,3,2,1
Berberis aristata,"Chitra, Indian Barberry or Tree Turmeric",Shrub,3.5,5-9,M,LMH,SN,DM,4,3,3
Berberis asiatica,"Chutro, Rasanjan (Nep); marpyashi (Newa); Daruharidra, Darbi (Sans)",Shrub,3.5,7-10,M,LMH,FSN,DM,4,3,2
Berberis buxifolia,Magellan Barberry,Shrub,2.5,4-8, ,LMH,SN,DM,4,2,3
Berberis calliantha, ,Shrub,0.7,6-9, ,LMH,SN,DM,2,2, 
Berberis canadensis,"Allegheny Barberry, American barberry",Shrub,1.8,4-8,M,LMH,SN,DM,3,2,1
Berberis capillaris, ,Shrub,1.0,7-10, ,LMH,SN,DM,2,2, 
Berberis chengii, ,Shrub,0.0,-, ,LMH,SN,DM,1,2, 
Berberis chinensis, ,Shrub,0.0,5-9, ,LMH,SN,M,1,2, 
Berberis chitria, ,Shrub,4.0,-, ,LMH,SN,DM,2,2, 
