Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other
Abutilon ochsenii, ,Shrub,4.0,7-10, ,LMH,SN,M,3,0, 
Acinos alpinus,Alpine Calamint,Perennial,0.5,4-8, ,LMH,N,DM,1,1, 
Acorus calamus,Sweet Flag - Calamus,Perennial,1.0,4-11,M,LMH,N,WeWa,3,4, 
Aegle marmelos,"Bael Tree, Golden Apple, Bengal Quince",Tree,10.0,10-12,S,LMH,N,M,3,3,4
Agastache cana,"Hoary Balm Of Gilead, Mosquito plant",Perennial,0.8,0-0, ,LM,N,DM,2,0, 
Akebia trifoliata,"Akebia, Threeleaf Akebia",Climber,9.0,5-8,F,LMH,FSN,M,4,2,2
Allocasuarina littoralis,"Black She Oak, Bull Oak, Wayetuck",Tree,8.0,9-11,F,LMH,N,M,1,0,4
Alnus nitida, ,Tree,30.0,7-10, ,MH,SN,DMWe,0,1, 
Amorphophallus rivieri,"Devil's Tongue, Umbrella Arum, Leopard Palm, Snake Palm",Perennial,0.8,10-11, ,LM,SN,M,2,2, 
Ampelopsis humulifolia, ,Climber,6.0,4-8, ,M,SN,M,2,0, 
Anthriscus cerefolium,"Chervil, Garden chervil",Biennial,0.5,6-9, ,LMH,FSN,M,3,2, 
Anthriscus sylvestris,"Cow Parsley, Wild chervil",Biennial,1.2,6-9, ,LMH,FSN,DM,2,1,1
Aphananthe aspera, ,Tree,20.0,6-9, ,LMH,SN,DM,1,0, 
Argyranthemum foeniculaceum, ,Perennial,1.0,8-11, ,LMH,N,DM,1,0, 
Asplenium ceterach,Scale Fern,Fern,0.2,7-10, ,LM,FSN,M,0,2, 
Barbarea vulgaris,"Yellow Rocket, Garden yellowrocket",Perennial,0.4,5-9, ,LMH,SN,M,3,1,0
Bassia scoparia,"Summer Cypress, Burningbush",Annual,0.3,5-9, ,LM,N,M,2,2,1
Blackstonia perfoliata,Yellow Wort,Annual,0.5,-, ,LM,N,DM,0,0, 
Bowdichia virgilioides,Alcornoco,Tree,20.0,10-12,F,LMH,N,DM,0,2,4
Brachyglottis repanda,Bushman's Toilet Paper,Shrub,6.0,8-11,S,LMH,SN,M,1,1, 
Bromus carinatus,Californian Brome,Annual/Biennial,0.8,4-8, ,LMH,SN,DM,1,0,1
Bunium ferulaceum, ,Perennial,0.6,-, ,LMH,N,M,2,0, 
Bunium persicum,"Black Caraway, Black Cumin",Perennial,0.6,-, ,LMH,SN,M,3,0, 
Butia capitata,"Jelly Palm, South american jelly palm",Tree,6.0,9-11,S,LMH,SN,M,2,0, 
Cacalia atriplicifolia,Pale indian plantain,Perennial,1.8,0-0, ,LMH,FS,M,2,1,2
Cacalia auriculata, ,Perennial,1.2,-, ,LMH,FS,M,1,0, 
Cacalia delphiniifolia, ,Perennial,1.0,-, ,LMH,FS,M,1,0, 
Cacalia farfarifolia, ,Perennial,1.2,-, ,LMH,FS,M,1,0, 
Cacalia firma, ,Perennial,0.0,-, ,LMH,FS,M,1,0, 
Cacalia hastata orientalis, ,Perennial,2.0,-, ,LMH,FS,M,1,0, 
Cacalia hastata tanakae, ,Perennial,1.8,-, ,LMH,FS,M,1,0, 
Cacalia kiusiana, ,Perennial,0.8,-, ,LMH,FS,M,1,0, 
Cacalia nikomontana, ,Perennial,1.0,-, ,LMH,FS,M,1,0, 
Cacalia peltifolia, ,Perennial,1.8,-, ,LMH,FS,WeM,1,0, 
Cacalia pseudo-taimingasa, ,Perennial,0.0,-, ,LMH,FS,M,1,0, 
Caesalpinia decapetala,"Mysore Thorn, Shoofly",Shrub,3.0,7-10, ,LMH,N,M,0,2,2
Caesalpinia digyna,"Teri pods, Udakiryaka",Shrub,10.0,10-12,F,LMH,N,M,0,2,2
Caesalpinia echinata,"Pau Brasil, Brazil Wood, Indian Savin",Tree,12.0,10-12,M,LMH,SN,M,0,2,4
Caesalpinia gilliesii,"Bird Of Paradise, Bird-of-paradise shrub",Shrub,5.0,7-10, ,LMH,N,M,0,1, 
Caesalpinia sappan,Sappanwood. Rainbow wood,Tree,7.0,10-12,F,LMH,N,DM,1,2,3
Caesalpinia spinosa,"Spiny Holdback, Tara",Tree,6.0,9-11,F,LMH,SN,M,2,2,4
Caesia calliantha,Blue Grass Lily,Perennial,0.3,-, ,LMH,N,M,1,0, 
Caesia parviflora,Blue Grass Lily,Perennial,0.3,-, ,LMH,N,M,1,0, 
Caesia vittata,Blue Grass Lily,Perennial,0.6,-, ,LMH,N,M,1,0, 
Cajanus cajan,"Pigeon Pea, Puerto Rico Bean, Gandul, Dhal, Congo Pea",Shrub,4.0,9-12,F,LMH,N,M,4,2,4
Cakile edentula,"Sea Rocket, American searocket, Harper's searocket",Annual,0.6,5-9, ,L,N,DM,2,0, 
Cakile maritima,"Sea Rocket, European searocket",Annual,0.3,5-9, ,L,N,M,2,0, 
Calamintha grandiflora,Large-Flowered Calamint,Perennial,0.6,5-8, ,LM,SN,DM,2,2, 
Calamintha nepeta,Lesser Calamint,Perennial,0.6,5-9, ,LM,N,DM,3,2,2
Calamintha sylvatica,"Calamint, Woodland calamint",Perennial,0.6,5-9, ,LM,SN,DM,3,2, 
Calamus caesius,Rotan Sega,Climber,100.0,10-12,F,LMH,SN,M,2,0,4
Calamus manan,Rotan Manau,Climber,100.0,10-12,F,LMH,SN,M,0,0,4
Calamus ovoideus,Egg-shaped Rattan. Rotan Ovoid,Climber,70.0,10-12,F,LMH,SN,M,2,0,4
Calamus radiatus,Rotan Rays. Radial Leaf Rotan,Climber,50.0,11-12,F,LMH,SN,M,0,0,4
