Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other
Aralia elata,"Japanese Angelica Tree, Angelica Tree",Tree,6.0,4-8,M,LMH,SN,M,2,2, 
Aster scaber, ,Perennial,1.2,6-9, ,LMH,N,M,3,0,2
Bambusa odashimae,Odashimae Bamboo,Bamboo,15.0,9-12,F,LMH,SN,M,4,0,0
Cardamine bulbifera,"Coral Root, Coralroot bittercress",Perennial,0.5,4-8, ,LMH,SN,M,2,0, 
Cardamine leucantha, ,Perennial,0.6,4-8, ,LMH,SN,MWe,2,1, 
Carpinus cordata, ,Tree,15.0,4-8,S,LMH,SN,M,0,0, 
Consolida regalis,"Larkspur, Royal knight's-spur",Annual/Biennial,0.5,0-0, ,LMH,SN,DM,0,3, 
Cordyline australis,Cabbage Tree,Tree,15.0,7-10,S,LM,SN,M,3,0,3
Cordyline indivisa,Cabbage Tree,Tree,8.0,7-10,S,LM,SN,M,3,0, 
Cornus kousa chinensis,Japanese Dogwood,Tree,10.0,5-8, ,LMH,SN,M,5,0,2
Dacrycarpus dacrydioides,Kahikatea,Tree,6.0,8-11,S,LMH,S,M,2,0, 
Dacrydium cupressinum,"Rimu, New zealand red pine",Tree,30.0,8-11,S,LM,S,M,2,0, 
Dacryodes edulis,"Bush Butter Tree, Butterfruit, African Plum, bush pear, bush plum, safou",Tree,20.0,11-12,F,LMH,SN,MWe,5,2,3
Dactyladenia barteri,Monkey Fruit,Tree,10.0,10-12,M,LMH,N,M,0,2,4
Dactylis glomerata,"Cock's Foot, Orchardgrass, Ascherson's orchardgrass",Perennial,1.0,4-8, ,LMH,SN,M,0,1,2
Dactyloctenium radulans,"Button Grass, Buttongrass",Annual,0.2,0-0, ,LMH,SN,M,1,0, 
Dactylorhiza incarnata,Marsh Orchid,Bulb,0.3,6-9, ,LMH,SN,M,2,2, 
Dactylorhiza maculata,Spotted Orchid,Bulb,0.6,4-8, ,LMH,SN,M,2,2, 
Dahlia pinnata,"Dahlia, Pinnate dahlia",Perennial,1.0,8-11, ,LMH,N,M,1,0, 
Dahlia rosea,"Dahlia, Pinnate dahlia",Perennial,1.5,8-11, ,LMH,N,M,1,1, 
Dalbergia baronii,"Palissandre rouge des marais, hitsika, sovodrano",Tree,20.0,10-12,M,LM,N,Mwe,0,0,4
Dalbergia cochinchinensis,"Siam Rosewood, Thailand Rosewood",Tree,25.0,10-12,S,LMH,N,M,0,0,4
Dalbergia greveana,Madagascar Rosewood,Tree,15.0,10-12,S,LMH,N,DM,0,2,4
Dalbergia hupeana, ,Tree,15.0,-, ,LMH,SN,M,1,1, 
Dalbergia latifolia,"Black Rosewood, East Indian Rosewood, Kala sheeshan, Satisal",Tree,30.0,10-12,M,LMH,N,M,0,2,4
Dalbergia louvelii,"Andramena, Volombodipona, Violet rosewood",Tree,15.0,10-12,M,LMH,N,M,0,2,4
Dalbergia melanoxylon,"African Blackwood, Grenadilla, Mpingo",Tree,6.0,10-12,S,LMH,N,DM,0,2,5
