Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other
Ageratina altissima,"White Snakeroot, Richweed",Perennial,2.0,5-9, ,LMH,SN,M,0,2,0
Ageratina aromatica, ,Perennial,1.5,4-8, ,LMH,SN,M,1,1, 
Ageratina herbacea,Fragrant Snakeroot,Perennial,2.0,5-9, ,LMH,SN,M,0,1, 
Ageratina ligustrina, ,Shrub,5.0,9-11, ,LMH,N,M,0,0, 
Ageratina occidentalis,Western Snakeroot,Perennial,0.7,5-9, ,LMH,SN,M,0,1, 
Calluna vulgaris,"Heather, Scotch Heather",Shrub,0.6,4-7, ,LM,SN,DM,2,2,5
Conyza canadensis,"Canada Fleabane, Canadian horseweed",Annual,1.0,6-9, ,LM,SN,DM,1,3,1
Corema album,Portuguese Crowberry,Shrub,0.3,7-10, ,LM,SN,DM,1,0, 
Corema conradii,"Poverty Grass, Broom crowberry",Shrub,0.3,3-7, ,LM,SN,DM,1,0, 
Dactyloctenium radulans,"Button Grass, Buttongrass",Annual,0.2,0-0, ,LMH,SN,M,1,0, 
Daphne involucrata, ,Shrub,0.0,-, ,MH,SN,M,0,0, 
Dimocarpus longan,"Longan, Lungan, Dragon's Eye, Cat's Eye",Tree,12.0,8-10,F,LMH,SN,M,4,3,2
Duboisia myoporoides,Corkwood,Tree,10.0,10-12,F,LM,N,M,0,3,2
Ecballium elaterium,Squirting Cucumber,Perennial,0.3,8-11, ,LMH,N,DM,0,2, 
Echinacea angustifolia,"Echinacea, Blacksamson echinacea, Strigose blacksamson",Perennial,1.2,3-8, ,LMH,N,DM,0,5,2
Echinacea pallida,"Cone Flower, Pale purple coneflower",Perennial,1.0,4-8, ,LMH,N,M,0,5, 
Echinacea purpurea,"Echinacea, Eastern purple coneflower, Hedge Coneflower, Black Sampson , Purple Coneflower",Perennial,1.2,3-10,M,LM,N,DM,1,5, 
Echinochloa colona,Jungle Rice,Annual,1.0,0-0, ,LMH,N,M,2,0,0
Echinochloa crus-galli,"Barnyard Millet, Barnyardgrass,",Annual,1.2,5-9, ,LMH,N,M,3,2,0
Echinochloa frumentacea,"Japanese Millet, Billion-dollar grass",Annual,1.8,0-0, ,LMH,N,M,3,1, 
Echinochloa polystachya,Aleman Grass. German grass,Perennial,2.0,10-12,F,LMH,N,MWeWa,0,0,4
Echinocystis lobata,Wild Cucumber,Annual,8.0,0-0,F,LMH,N,M,0,1,0
Echinophora spinosa, ,Perennial,0.5,-, ,LMH,SN,M,2,0, 
Echinops latifolius, ,Perennial,0.5,3-7, ,LMH,N,DM,0,1, 
Echinops ritro,"Globe Thistle, Southern globethistle, Small Globe Thistle",Perennial,0.5,3-10,F,LMH,N,DM,0,1, 
Echinops setifer,Globe Thistle,Perennial,1.0,-, ,LMH,SN,DM,1,2, 
Echinops spinosissimus, ,Perennial,0.8,6-9, ,LMH,N,DM,1,0, 
Echium vulgare,"Viper's Bugloss, Common viper's bugloss",Biennial/Perennial,0.9,0-0, ,LMH,N,DM,1,2,0
Eclipta prostrata,"Han Lian Cao, False daisy",Annual,0.6,10-12, ,LMH,S,MWe,1,3,2
Edgeworthia chrysantha,Oriental paperbush,Shrub,2.0,7-10, ,LMH,SN,M,0,1, 
Edgeworthia gardneri,Nepalese Paper Bush,Shrub,2.0,7-10, ,LMH,SN,M,0,0, 
Edgeworthia papyrifera,"Paperbush, Oriental Paperbush",Shrub,2.5,7-10, ,LMH,SN,M,1,0,4
Ehretia acuminata,Koda Tree,Tree,9.0,6-9, ,LM,N,M,2,1, 
Ehretia anacua,"Anaqua, Knockaway",Tree,5.0,7-10, ,LMH,N,DM,2,0, 
Ehretia dicksonii, ,Tree,10.0,6-9, ,LM,SN,M,2,0, 
Ehretia ovalifolia, ,Tree,12.0,6-9, ,LM,N,M,2,0, 
Eichhornia crassipes,"Water Hyacinth, Common water hyacinth",Perennial,0.3,10-11,F,LMH,SN,M,2,0,0
Elaeagnus angustifolia,"Oleaster, Russian olive",Shrub,7.0,2-7,M,LMH,N,DM,4,2,4
Elaeagnus commutata,Silverberry,Shrub,3.0,2-6,M,LMH,N,DM,3,2,4
Elaeagnus cordifolia, ,Shrub,4.0,0-0,M,LMH,FSN,DM,5,2,3
Elaeagnus formosana, ,Shrub,0.0,-, ,LMH,SN,DM,2,2, 
Elaeagnus fragrans, ,Shrub,3.0,-,M,LMH,N,DM,2,2, 
Elaeagnus glabra,Goat nipple,Shrub,6.0,7-10,M,LMH,FSN,DM,4,2,3
Elaeagnus gonyanthes, ,Shrub,4.0,-,M,LMH,N,DM,2,2, 
Elaeagnus latifolia,Bastard Oleaster,Shrub,3.0,8-11,M,LMH,N,DM,3,2,2
Elaeagnus macrophylla, ,Shrub,3.0,6-9,M,LMH,FSN,DM,5,2,3
Elaeagnus maritima, ,Shrub,6.0,-, ,LMH,FSN,DM,2,2, 
Elaeagnus montana, ,Shrub,4.0,-,M,LMH,N,DM,2,2, 
Elaeagnus multiflora,"Goumi, Cherry silverberry",Shrub,3.0,5-9,M,LMH,SN,DM,5,2,3
Elaeagnus multiflora ovata,Goumi,Shrub,3.0,5-9,M,LMH,SN,DM,5,2,3
Elaeagnus oldhamii, ,Shrub,4.0,-, ,LMH,SN,DM,2,2, 
Elaeagnus orientalis,Trebizond Date,Shrub,12.0,4-8,M,LMH,N,DM,4,2,2
Elaeagnus parvifolia,Autumn olive,Shrub,4.5,3-7,M,LMH,N,DM,4,2,2
Elaeagnus pungens,"Elaeagnus, Thorny olive, Thorny Elaeagnus, Oleaster, Silverberry, Silverthorn, Pungent Elaeagnus",Shrub,4.0,6-10,M,LMH,FSN,DM,5,2,3
Elaeagnus pyriformis, ,Shrub,0.0,-,M,LMH,N,DM,2,2, 
Elaeagnus thunbergii, ,Shrub,3.0,-, ,LMH,SN,DM,2,2, 
Elaeagnus umbellata,Autumn Olive,Shrub,4.5,3-7,M,LMH,N,DM,4,2,3
Elaeagnus x ebbingei,"Elaeagnus, Ebbing's Silverberry",Shrub,5.0,5-9,M,LMH,FSN,DM,5,2,4
Elaeagnus x reflexa, ,Shrub,4.5,6-9,M,LMH,FSN,DM,3,2,4
Elaeagnus yoshinoi, ,Shrub,5.0,-, ,LMH,SN,DM,2,2, 
Elaeis guineensis,African Oil Palm,Tree,15.0,10-12,S,LMH,N,MWe,5,2,5
Elaeis oleifera,American Oil Palm,Tree,4.0,10-12,S,LMH,N,M,3,0,5
Elaeocarpus cyaneus,Blueberry Ash,Tree,12.0,8-11, ,LMH,SN,M,1,0, 
Elaeocarpus dentatus, ,Tree,18.0,8-11, ,LMH,SN,M,2,0, 
Elaeocarpus hookerianus, ,Tree,0.0,8-11, ,LMH,SN,M,0,0, 
Elaeocarpus lanceaefolius, ,Tree,0.0,8-11, ,LMH,SN,M,1,0, 
Elatostema cuneatum, ,Annual,0.3,-, ,LMH,S,M,1,0, 
Elatostema dissectum, ,Perennial,0.7,-, ,LMH,SN,M,1,0, 
Elatostema laetevirens, ,Perennial,0.3,-, ,LMH,S,M,1,0, 
Eleocharis dulcis,Chinese Water Chestnut,Perennial,1.0,9-12, ,LMH,N,WeWa,3,1,2
Eleocharis palustris,"Common Spike-Rush, Common spikerush",Perennial,0.6,4-8, ,LMH,SN,WeWa,1,0, 
Eleusine coracana,"Finger Millet, African finger millet",Annual,0.3,8-11, ,LMH,N,M,4,2, 
Eleusine indica,"Wire Grass, Indian goosegrass, Yard Grass, Goose Grass",Annual,0.5,8-11,F,LMH,N,M,3,1,0
Eleusine tocussa, ,Annual,0.8,-, ,LMH,SN,M,1,0, 
Eleutherococcus chiisanensis, ,Shrub,0.0,-, ,LMH,SN,M,2,0, 
Eleutherococcus divaricatus, ,Shrub,3.5,5-9, ,LMH,SN,M,2,0, 
Eleutherococcus gracylistylus,Wu Jia Pi,Shrub,3.0,5-9, ,LMH,SN,M,1,3, 
Eleutherococcus innovans,Taka-No-Tsume,Tree,6.0,6-9, ,LMH,N,M,1,0, 
Eleutherococcus japonicus, ,Shrub,3.0,-, ,LMH,SN,M,1,0, 
Eleutherococcus senticosus,Siberian Ginseng,Shrub,2.0,3-7,S,LMH,SN,M,2,5, 
Eleutherococcus seoulensis, ,Shrub,0.0,-, ,LMH,SN,M,1,0, 
Eleutherococcus sessiliflorus, ,Shrub,4.5,4-8, ,LMH,SN,M,2,3, 
Eleutherococcus sieboldianus,"Ukogi, Five Leafed Aralia",Shrub,3.0,4-8,S,LMH,SN,M,3,0,2
Eleutherococcus spinosus, ,Shrub,3.0,4-8, ,LMH,SN,M,2,2, 
Eleutherococcus trifoliatus, ,Shrub,6.0,6-9, ,LMH,SN,M,1,1, 
Elodea canadensis,"Canadian Pondweed, Canadian waterweed",Perennial,0.0,0-0, ,LMH,SN,Wa,0,1,0
Elsholtzia ciliata,Crested latesummer mint,Annual,0.6,4-8, ,LMH,N,M,2,2,0
Elsholtzia fruticosa,Ji Gu Chai,Shrub,1.5,4-8, ,LMH,SN,M,1,1, 
Elsholtzia splendens,Shiny Elsholtzia,Annual,0.4,-, ,LMH,N,M,0,2, 
Elymus canadensis,Canadian Wild Rye,Perennial,0.8,3-7, ,LMH,N,M,2,0, 
Elymus glauca,Blue Wild Rye,Perennial,1.0,4-8, ,LMH,N,DM,2,0, 
Elymus hispidus,"Kernza. Wild triga, Pubescent wheatgrass,",Perennial,0.8,6-9,F,LMH,N,M,4,0,4
Elytrigia juncea,Sand Couch,Perennial,0.6,4-8, ,LMH,N,DM,0,0, 
Elytrigia repens,Couch Grass,Perennial,0.6,-, ,LMH,FSN,DMWe,2,3, 
Embelia ribes,"False black pepper, White-flowered Embelia",Climber,15.0,10-12,F,LMH,S,M,3,4,2
Emex australis,"Doublegee, Southern threecornerjack",Annual,0.1,0-0, ,LMH,SN,M,1,1,0
Emilia coccinea,"Tassel Flower, Scarlet tasselflower",Annual,0.6,8-11, ,LMH,N,DM,2,1, 
Emilia sonchifolia,"Cupid's Shaving Brush, Lilac tasselflower",Annual,0.6,8-11, ,LMH,N,M,3,2, 
Eminium spiculatum, ,Perennial,0.3,7-10, ,LM,N,DM,1,0, 
Empetrum atropurpureum,Purple Crowberry,Shrub,0.2,-, ,LM,SN,M,2,0, 
1 2 3 4 5,1,2,3,4,5,,,,,,
Empetrum eamesii,"Rockberry, Purple crowberry",Shrub,0.2,3-8, ,LM,SN,M,2,0, 
Empetrum eamesii hermaphroditum,"Mountain Crowberry, Rockberry",Shrub,0.3,3-8, ,LMH,N,M,2,0, 
Empetrum nigrum,"Crowberry, Black crowberry, Black Crowberry",Shrub,0.3,3-8, ,LMH,SN,M,3,2,1
Empetrum rubrum, ,Shrub,0.3,-,S,LMH,SN,M,2,1, 
Encelia farinosa,"Brittle Bush, Brittlebush, Incienso",Shrub,0.8,8-11,M,LM,N,DM,2,1, 
Encephalartos spp.,"Bread trees, Bread palms, Kaffir bread",Perennial,3.0,9-11,S,LM,SN,DM,1,0,4
Enchylaena tomentosa,Ruby Saltbush,Shrub,1.0,8-11, ,LM,N,DM,2,1, 
