Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other
Agave cantala agave,Agave,Perennial,2.0,9-12,F,LMH,N,DM,2,0,4
Arisaema thunbergii, ,Perennial,0.6,-, ,LM,FSN,M,0,1, 
Casimiroa edulis,"White Sapote, Mexican Apple",Tree,16.0,8-11,M,LMH,N,M,5,3,2
Castanea pumila,"Chinquapin, Ozark chinkapin",Shrub,4.0,4-8,S,LMH,N,DM,4,1,2
Castanea pumila ashei,Chinquapin,Shrub,5.0,6-9, ,LMH,N,DM,4,1,2
Fabiana imbricata,Pichi,Shrub,2.5,7-10, ,L,N,M,0,2, 
Fagopyrum dibotrys,Perennial Buckwheat,Perennial,1.0,0-0,F,LMH,SN,DM,4,2,0
Fagopyrum esculentum,Buckwheat,Annual,1.5,6-12,F,LMH,N,DM,4,3,4
Fagopyrum spp.,Perennial Buckwheat,Perennial,1.0,5-10,F,LMH,SN,M,4,3,2
Fagopyrum tataricum,Tartarian Buckwheat,Annual,0.8,0-0, ,LMH,N,DM,3,1,0
Fagraea fragrans,"Ironwood, Tembusu",Tree,25.0,10-12,S,LMH,N,MWe,0,2,4
Fagus crenata,Japanese Beech,Tree,35.0,4-8,S,LM,FSN,DM,2,0, 
Fagus grandifolia,American Beech,Tree,10.0,4-8,S,LM,FSN,DM,2,2,3
Fagus japonica,Japanese Beech,Tree,22.0,4-8,S,LM,FSN,DM,2,0, 
Fagus longipetiolata, ,Tree,22.0,-, ,LM,FSN,DM,2,0, 
Fagus lucida, ,Tree,15.0,5-9, ,LM,FSN,DM,2,0, 
Fagus orientalis,Oriental Beech,Tree,20.0,4-8,M,LM,FSN,DM,2,0, 
Fagus sylvatica,"Beech, European beech, Common Beech",Tree,30.0,4-7,M,LMH,FSN,DM,4,2,4
Faidherbia albida,White Acacia. White-thorn. Apple ring acacia,Tree,25.0,10-12,F,LM,N,DM,1,2,3
Falcataria moluccana,Batai,Tree,35.0,10-12,F,LMH,N,M,0,0,4
Fallugia paradoxa,Apache Plume,Shrub,2.5,6-10,M,LMH,N,DM,0,0, 
Farfugium japonicum,Leopard Plant,Perennial,0.8,6-10,M,LMH,SN,M,1,1, 
Fargesia nitida,Fountain Bamboo,Bamboo,4.0,4-8,S,LMH,FSN,M,0,0, 
Fedia cornucopiae, ,Annual,0.2,-, ,LMH,N,DM,2,0, 
Ferula assa-foetida,"Asafoetida - Devil's Dung. Hing (Indian), Asafetida",Perennial,2.0,7-10, ,LMH,N,DM,3,3, 
Ferula caspica, ,Perennial,0.3,-, ,LMH,N,DM,0,2, 
Ferula communis,Giant Fennel,Perennial,2.5,7-10, ,LMH,N,DM,1,1, 
Ferula conocaula, ,Perennial,0.0,-, ,LMH,N,DM,0,2, 
Ferula foetida,Asafoetida,Perennial,1.0,7-10, ,LMH,N,DM,2,3, 
Ferula gummosa,Galbanum,Perennial,1.0,5-9, ,LMH,N,DM,2,2, 
Ferula karelinii, ,Perennial,0.6,-, ,LMH,N,DM,1,0, 
Ferula longifolia, ,Perennial,0.0,-, ,LMH,N,DM,1,0, 
Ferula marmarica, ,Perennial,0.0,-, ,LMH,N,DM,0,0, 
Ferula moschata,Musk Root,Perennial,2.5,8-11, ,LMH,N,DM,0,2, 
Ferula narthex,Ferula,Perennial,2.5,7-10, ,LMH,N,DM,2,2, 
Ferula persica, ,Perennial,1.0,6-9, ,LMH,N,DM,0,1, 
Ferula schair, ,Perennial,1.0,-, ,LMH,N,DM,0,0, 
Ferula szowitziana, ,Perennial,0.6,-, ,LMH,N,DM,0,0, 
Ferula tingitana, ,Perennial,2.0,8-11, ,LMH,N,DM,0,0, 
Festuca conferta, , ,0.0,-, ,LMH,SN,M,1,0, 
Festuca ovina,Sheep's Fescue,Perennial,0.3,4-8, ,LM,SN,DM,1,0, 
Festuca pratensis,Meadow fescue,Perennial,1.0,4-10,M,LMH,SN,DM,1,0,3
Fibigia clypeata, ,Perennial,0.6,6-9, ,LMH,N,DM,2,0, 
Ficus annulata,"Huan wen rong, Nizhangde",Tree,25.0,10-12,M,LMH,N,M,2,0,3
Ficus carica,"Fig, Edible fig, Fig Common",Tree,6.0,6-112,M,LMH,N,DM,4,2,1
Ficus coronata,Sandpaper Fig,Shrub,0.0,-, ,LMH,SN,M,0,0, 
Ficus elastica,Rubber Plant. India Rubber Tree,Tree,50.0,9-12,F,LMH,SN,M,2,2,3
Ficus macrophylla,Moreton Bay Fig,Tree,35.0,9-11, ,LMH,SN,M,1,0,3
Ficus palmata,"Wild Fig, Punjab fig",Tree,9.0,0-0, ,LMH,N,DM,2,1, 
Ficus racemosa,Cluster Fig,Tree,12.0,9-12,F,LMH,SN,M,3,2,2
Filipendula kamtschatica, ,Perennial,2.0,3-7, ,LMH,SN,MWe,2,0, 
Filipendula multijuga, ,Perennial,1.2,5-9, ,LMH,SN,MWe,1,0, 
Filipendula rubra,"Queen Of The Prairie, Meadowsweet",Perennial,2.5,3-9,M,LMH,SN,MWe,0,1, 
Filipendula ulmaria,"Meadowsweet, Queen of the meadow, Double Lady of the Meadow, European Meadowsweet",Perennial,1.2,3-9,M,LMH,SN,MWe,3,3,3
Filipendula vestita, ,Perennial,0.8,5-9, ,LMH,SN,MWe,0,1, 
Filipendula vulgaris,"Dropwort, Meadowsweet",Perennial,0.8,3-10,M,LMH,N,DM,2,1, 
Fimbristylis sub-bispicata, ,Perennial,0.6,-, ,LMH,SN,M,0,0, 
Firmiana simplex,"Chinese Parasol Tree, Chinese parasoltree, Japanese Varnish Tree, Chinese Parasol Tree",Tree,15.0,7-10,F,LM,SN,M,1,1, 
Fitzroya cupressoides,"Alerce, Patagonian cypress",Tree,10.0,7-10,S,LMH,SN,M,0,0, 
Flemingia macrophylla,Enoki-mame,Shrub,3.0,10-12,M,LMH,SN,MWe,1,2,4
Foeniculum vulgare,"Fennel, Sweet fennel",Perennial,1.5,3-10, ,LMH,N,DM,5,3,3
Foeniculum vulgare azoricum,Florence Fennel,Perennial,1.5,6-9, ,LMH,N,DM,3,3,2
Foeniculum vulgare dulce,Sweet Fennel,Perennial,1.5,6-9, ,LMH,N,DM,3,3,3
Fontanesia phillyreoides fortunei,Xue Liu,Shrub,3.0,5-9, ,LMH,SN,M,0,0, 
Forestiera acuminata,"Swamp Privet, Eastern swampprivet",Shrub,3.0,0-0, ,LMH,SN,M,1,1, 
Forestiera neomexicana,Wild Olive,Shrub,3.0,5-9, ,LMH,SN,DM,2,0, 
Forsythia suspensa,"Lian Qiao, Weeping forsythia",Shrub,5.0,5-8,M,LMH,FSN,M,1,3,3
Forsythia viridissima,"Golden Bells, Greenstem forsythia, Forsythia",Shrub,2.5,5-8,S,LMH,FSN,M,0,2,3
Forsythia x intermedia,"Golden Bell, Border Forsythia",Shrub,2.5,5-8,F,LMH,FSN,M,0,0,3
Fortunella japonica,Round Kumquat,Shrub,2.5,8-11, ,LMH,SN,M,3,1,2
Fortunella margarita,Oval Kumquat,Shrub,3.0,7-10, ,LMH,N,M,3,0,1
Fouquieria splendens,Ocotillo. Coach whip,Shrub,6.0,8-11,M,LMH,N,D,2,2,2
Fragaria,"Strawberry, Beach strawberry, Pacific beach strawberry, Sandwich beach strawberry, Virginia strawber",Perennial,0.2,4-8, ,LMH,SN,M,3,0, 
Fragaria bracteata,Woodland Strawberry,Perennial,0.3,-, ,LMH,SN,M,2,0, 
Fragaria californica,Californian Strawberry,Perennial,0.3,0-0, ,LMH,SN,M,2,1,0
Fragaria chiloensis,"Beach Strawberry, Pacific beach strawberry, Sandwich beach strawberry",Perennial,0.3,4-8, ,LMH,SN,M,2,1,2
Fragaria daltoniana, ,Perennial,0.3,-, ,LMH,SN,M,2,1, 
Fragaria iinumae,Strawberry,Perennial,0.3,-, ,LMH,SN,M,2,0, 
Fragaria moschata,Hautbois Strawberry,Perennial,0.5,5-9, ,LMH,SN,M,3,0,2
Fragaria nilgerrensis, ,Perennial,0.2,-, ,LMH,SN,M,2,0, 
Fragaria nipponica, ,Perennial,0.3,-, ,LMH,SN,M,2,0, 
Fragaria nubicola,Indian Strawberry,Perennial,0.2,5-9, ,LMH,SN,M,2,1, 
Fragaria orientalis, ,Perennial,0.2,-, ,LMH,SN,M,3,0, 
Fragaria ovalis,Rocky Mountain Strawberry,Perennial,0.2,-, ,LMH,SN,M,3,0, 
Fragaria vesca,"Wild Strawberry, Woodland strawberry, California strawberry",Perennial,0.3,4-8, ,LMH,SN,M,3,3,3
Fragaria vesca 'Semperflorens',Alpine Strawberry,Perennial,0.3,4-8, ,LMH,SN,M,5,3, 
Fragaria virginiana,"Scarlet Strawberry, Virginia strawberry",Perennial,0.3,3-7, ,LMH,SN,M,3,2,2
Fragaria viridis,Green Strawberry,Perennial,0.3,5-9, ,LMH,SN,M,3,0,3
Fragaria x ananassa,Strawberry,Perennial,0.3,4-8, ,LMH,SN,M,5,0,3
Frasera caroliniensis,American Columbo,Perennial,2.5,0-0, ,LM,SN,M,0,2, 
Frasera speciosa,"Green Gentian, Elkweed",Biennial/Perennial,1.5,3-7, ,LM,SN,M,1,2, 
Fraxinus americana,White Ash,Tree,25.0,4-9,F,LMH,SN,DM,1,2,0
Fraxinus angustifolia,Narrow-Leaved Ash,Tree,25.0,5-9, ,LMH,N,DM,1,0, 
Fraxinus bungeana,Xiao Ye Qin,Shrub,5.0,4-8, ,LMH,N,DM,0,2, 
Fraxinus chinensis rhynchophylla,Hua Qu Liu,Tree,25.0,5-9, ,LMH,N,M,0,2, 
Fraxinus excelsior,"Ash, European ash, Common Ash",Tree,30.0,5-8,F,LMH,N,MWe,2,2,3
Fraxinus floribunda,Himalayan Ash,Tree,40.0,7-10, ,LMH,N,M,2,2, 
Fraxinus hookeri, ,Tree,0.0,-, ,LMH,N,M,0,0, 
Fraxinus latifolia,Oregon Ash,Tree,20.0,5-9, ,LMH,N,M,0,1, 
Fraxinus longicuspis, ,Tree,8.0,5-9, ,LMH,N,M,0,1, 
1 2,1,2,,,,,,,,,
Fraxinus nigra,Black Ash,Tree,25.0,2-5,M,LMH,N,MWe,0,1, 
Fraxinus ornus,"Manna Ash, Flowering ash",Tree,9.0,5-6,S,LMH,N,DM,3,3, 
Fraxinus pennsylvanica,"Red Ash, Green ash, Water Ash",Tree,20.0,3-9,F,LMH,N,M,1,1,0
Fraxinus quadrangulata,Blue Ash,Tree,20.0,4-8,M,LMH,N,M,0,0, 
Fraxinus sieboldiana,Ash,Tree,8.0,6-9,M,LMH,N,M,0,0, 
Fraxinus texensis,Texas White Ash,Tree,12.0,5-9,F,LMH,SN,DM,0,0, 
Fraxinus velutina,"Arizona Ash, Velvet ash, Modesto Ash, Fantex Ash",Tree,12.0,7-10,F,LMH,N,M,0,0, 
Fraxinus xanthoxyloides, ,Tree,6.0,7-10, ,LMH,N,M,0,0, 
Fremontodendron californicum,"Flannel Flower, California flannelbush, Common Flannel Bush",Shrub,6.0,9-11,M,LM,SN,DM,0,2, 
Fritillaria affinis,"Chocolate Lily, Checker lily",Bulb,0.6,4-8, ,LM,SN,M,3,0,0
Fritillaria atropurpurea,"Purple Fritillary, Spotted fritillary",Bulb,0.6,4-8, ,LM,SN,DM,2,1, 
Fritillaria camschatcensis,"Kamchatka Lily, Kamchatka fritillary",Bulb,0.5,4-8, ,LM,SN,M,4,0, 
Fritillaria cirrhosa,Chuan Bei Mu,Bulb,0.5,4-8, ,LM,SN,M,2,3, 
Fritillaria imperialis,"Crown Imperial, Imperial fritillary, Crown Imperial Fritillary",Bulb,1.0,7-9,S,MH,SN,DM,2,1, 
Fritillaria meleagris,"Snakehead Fritillary, Chequered lily, Checkered Fritillary",Bulb,0.3,3-7,M,LMH,SN,M,0,1, 
Fritillaria pallidiflora,Pale-Flowered Fritillary,Bulb,0.6,3-7, ,LM,SN,M,0,3, 
Fritillaria pudica,Yellow Fritillary,Bulb,0.2,3-7, ,LM,SN,DM,3,0, 
Fritillaria roylei, ,Bulb,0.6,4-8, ,LM,SN,M,0,2, 
Fritillaria sewerzowii, ,Bulb,0.3,4-8, ,LM,SN,DM,0,1, 
Fritillaria thunbergii,Zhe Bei Mu,Bulb,0.6,7-10, ,LM,SN,M,2,3, 
Fritillaria verticillata, ,Bulb,0.6,4-8, ,LM,SN,DM,2,3, 
Fuchsia alpestris, ,Shrub,2.0,9-11, ,LMH,SN,M,0,0, 
Fuchsia boliviana,Bolivian fuchsia,Shrub,3.5,9-11,F,LMH,SN,M,3,0,0
Fuchsia coccinea,Scarlet fuchsia,Shrub,3.5,8-11,F,LMH,SN,M,4,0,1
Fuchsia colensoi, ,Shrub,10.0,8-11, ,LMH,SN,M,2,0, 
Fuchsia corymbiflora,"Peruvian Fuschia, Peruvian Berrybush, Vine fuchsia,",Shrub,3.6,9-11, ,LMH,SN,M,3,0,0
Fuchsia denticulata, ,Shrub,4.0,9-11, ,LMH,SN,M,3,0,0
Fuchsia excorticata,Konini,Shrub,10.0,8-11,M,LMH,SN,M,2,0, 
