Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other
Agalinis tenuifolia,Slenderleaf False Foxglove,Perennial,0.6,7-10, ,LM,SN,DM,0,1, 
Agrostemma githago,"Corncockle, Common corncockle",Annual,0.9,0-0, ,LMH,SN,DM,1,1,0
Antennaria dioica,"Catsfoot, Stoloniferous pussytoes",Perennial,0.1,4-8, ,L,N,DM,0,2,2
Apios priceana,Traveler's delight,Perennial,3.0,6-9, ,LM,SN,M,5,0,3
Asperula tinctoria,Dyer's Woodruff,Perennial,0.3,4-8, ,LMH,SN,DM,0,0, 
Bulnesia arborea,Verawood,Tree,15.0,9-12,S,LMH,N,DM,0,0,4
Caesalpinia echinata,"Pau Brasil, Brazil Wood, Indian Savin",Tree,12.0,10-12,M,LMH,SN,M,0,2,4
Catabrosa aquatica,Water WhirlGrass,Perennial,0.7,3-7, ,LMH,SN,WeWa,1,1, 
Clarkia biloba,"Twolobe clarkia, Mariposa clarkia, Brandegee's clarkia",Annual,0.9,0-0, ,LMH,SN,M,1,1, 
Clarkia purpurea,Winecup clarkia,Annual,0.6,0-0, ,LMH,SN,M,1,0, 
Cleome gynandra,"African Spider Flower, Spiderwisp",Annual,1.3,8-12, ,LM,N,DM,0,2,0
Coniogramme japonica,Bamboo Fern,Fern,0.4,8-11, ,LMH,SN,M,0,1, 
Cruciata laevipes,"Crosswort, Smooth bedstraw",Perennial,0.6,0-0, ,LMH,SN,DM,2,2, 
Cytisus decumbens,Prostrate Broom,Shrub,0.2,5-8,M,LM,N,DM,0,0,4
Daphniphyllum himalense, ,Tree,6.0,7-10, ,LMH,FS,M,1,1, 
Diploterigium glaucum, ,Fern,0.0,-, ,LMH,SN,M,1,0, 
Gagea lutea,Yellow Star Of Bethlehem,Bulb,0.2,5-9, ,LMH,SN,M,1,0, 
Gaillardia pinnatifida,"Blanket Flower, Red dome blanketflower",Perennial,0.4,7-10, ,LMH,SN,M,2,1, 
Galactites tomentosa, ,Annual/Biennial,0.5,-, ,LMH,N,DM,1,0, 
Galanthus nivalis,"Snowdrop, Common Snowdrop",Bulb,0.2,3-9,M,MH,S,M,0,1, 
Galax urceolata,"Beetleweed, Wandflower",Perennial,0.2,5-8,M,LMH,FS,DM,0,1,2
Galega officinalis,"Goat's Rue, Professor-weed",Perennial,1.2,4-8,F,LMH,SN,M,2,3,0
Galeopsis bifida,Splitlip hempnettle,Annual,1.0,0-0, ,LMH,SN,M,0,0, 
Galeopsis ladanum,"Broadleaf Hemp Nettle, Red hempnettle",Annual,0.6,0-0, ,LMH,SN,M,0,0, 
Galeopsis segetum,Downy Hemp Nettle,Annual,0.6,-, ,LMH,SN,M,0,2, 
Galeopsis speciosa,"Large Flowered Hemp Nettle, Edmonton hempnettle",Annual,1.0,0-0, ,LMH,SN,M,0,0, 
Galeopsis tetrahit,"Common Hemp Nettle, Brittlestem hempnettle",Annual,1.0,0-0, ,LMH,SN,M,0,1,0
Galinsoga parviflora,Gallant Soldier,Annual,0.6,0-0, ,LMH,SN,M,2,1,0
Galium aparine,"Goosegrass, Coachweed, Catchweed, Stickywilly",Annual,1.2,3-7, ,LMH,FSN,DM,2,3,0
Galium boreale,Northern Bedstraw,Perennial,0.5,0-0, ,LMH,S,DM,2,2,0
Galium gracile, ,Perennial,0.2,0-0, ,LMH,S,DM,1,2,0
Galium mollugo,"Hedge Bedstraw, False baby's breath",Perennial,1.2,3-7,M,LMH,S,DM,1,2,0
Galium odoratum,"Sweet Woodruff, Sweetscented bedstraw, Bedstraw",Perennial,0.2,5-9,M,LMH,FS,DM,3,3,3
Galium spurium,False Cleavers,Annual,0.8,0-0, ,LMH,S,DM,1,2,0
Galium tinctorium,Threepetal Bedstraw,Perennial,0.0,0-0, ,LMH,SN,M,0,1,0
Galium triflorum,Fragrant Bedstraw,Perennial,0.6,0-0, ,LMH,S,DM,1,2,0
Galium verum,"Lady's Bedstraw, Yellow Spring bedstraw, Wirtgen's bedstraw",Perennial,0.6,3-7, ,LMH,SN,DM,3,2,0
Garcinia brasiliensis,Bacupari,Tree,6.0,10-12,S,LMH,SN,M,4,2,2
Garcinia gardneriana,"Bacupari, achacha",Tree,8.0,10-12,S,LMH,SN,M,4,0,2
Garcinia hanburyi,Siam gamboge. Hanbury's garcinia,Tree,15.0,10-12,M,LMH,SN,M,0,1,2
Garcinia kola,Bitter Kola,Tree,12.0,10-12,M,LMH,SN,MWe,3,4,3
Garcinia madruno,"Madruno, Charichuela, Madrono",Tree,10.0,10-12,M,LM,SN,M,4,2,2
Garcinia mangostana,"Mangosteen, Manggis",Tree,12.0,11-12,S,MH,SN,M,5,2,2
Garcinia xanthochymus,"Mysore Gamboge. Gamboge, Himalayan garcinia",Tree,12.0,11-12,S,LMH,SN,M,2,0,2
Garrya elliptica,"Coast Silk Tassel, Wavyleaf silktassel",Shrub,4.0,7-10,M,LMH,FSN,DM,0,2, 
Garrya fremontii,"Fever Bush, Bearbrush",Shrub,3.0,6-9,M,LMH,FSN,DM,0,1, 
Gastrodia cunninghamii, ,Perennial,1.0,-, ,LMH,FS,M,2,0, 
Gastrodia elata,Tien Ma,Perennial,1.0,5-9, ,LMH,FS,M,2,3, 
Gastrodia sesamoides,Potato Orchid,Perennial,0.6,0-0, ,LMH,SN,M,2,0,0
Gaultheria adenothrix, ,Shrub,0.3,8-11, ,LM,FS,M,3,0,4
Gaultheria antipoda,Snowberry,Shrub,1.2,8-11, ,LM,FS,M,2,0, 
Gaultheria appressa,White Waxberry,Shrub,2.0,-, ,LM,SN,M,2,0, 
Gaultheria cumingiana, ,Shrub,3.0,9-11, ,LM,S,M,2,2, 
Gaultheria depressa,Mountain Snowberry,Shrub,0.1,8-11, ,LM,SN,M,2,0, 
Gaultheria fragrantissima,Fragrant Wintergreen,Shrub,1.0,8-11, ,LM,FS,M,2,2, 
Gaultheria griffithianum, ,Shrub,1.8,-, ,LM,SN,M,2,0, 
Gaultheria hispida,Snowberry,Shrub,0.9,8-11, ,LM,S,M,2,1, 
Gaultheria hispidula,Creeping Snowberry,Shrub,0.1,5-9,F,LM,S,MWe,4,1,4
Gaultheria humifusa,"Alpine Wintergreen, Alpine spicywintergreen",Shrub,0.1,6-9, ,LM,SN,M,4,0,3
Gaultheria insana, ,Shrub,0.5,5-9, ,LMH,SN,M,1,1, 
Gaultheria japonica,Creeping Snowberry,Shrub,0.1,5-9,F,LM,S,MWe,4,1,3
Gaultheria macrostigma, ,Shrub,0.5,7-10, ,LM,S,M,2,0, 
Gaultheria mucronata,Prickly heath,Shrub,1.5,5-9, ,LM,SN,M,4,0,3
Gaultheria myrsinoides, ,Shrub,0.2,8-11, ,LM,SN,M,2,0, 
Gaultheria nummularioides, ,Shrub,0.1,8-11, ,LM,SN,M,2,0, 
Gaultheria ovatifolia,"Mountain Checkerberry, Western teaberry",Shrub,0.2,5-9, ,LM,FS,M,3,0,3
Gaultheria procumbens,"Checkerberry, Eastern teaberry, Teaberry, Creeping Wintergreen",Shrub,0.2,3-6,M,LM,FS,DM,4,3,4
Gaultheria pumila, ,Shrub,0.1,6-9,S,LM,SN,M,2,0, 
Gaultheria pumila leucocarpa, ,Shrub,0.2,6-9, ,LM,SN,M,2,0, 
Gaultheria pyroliifolia, ,Shrub,0.2,5-9,S,LM,FS,M,2,0, 
Gaultheria pyroloides, ,Shrub,0.3,5-9, ,LM,S,M,3,0, 
Gaultheria rigida, ,Shrub,0.0,-, ,LM,FS,M,1,0, 
Gaultheria sclelophylla, ,Shrub,0.0,-, ,LM,FS,M,2,0, 
Gaultheria shallon,"Shallon, Salal",Shrub,1.2,8-11,M,LM,FSN,DM,5,2,3
Gaultheria trichophylla, ,Shrub,0.1,7-10, ,LM,SN,M,2,0, 
Gaultheria x wisleyensis, ,Shrub,1.0,5-9, ,LM,FS,M,2,0, 
Gaylussacia baccata,Black Huckleberry,Shrub,1.0,5-9, ,LMH,SN,DM,4,1,0
Gaylussacia brachycera,Box Huckleberry,Shrub,0.5,5-9, ,LMH,FSN,DM,2,0,2
Gaylussacia dumosa,Dwarf Huckleberry,Shrub,0.3,5-9, ,LM,SN,M,3,0,0
Gaylussacia frondosa,"Dangleberry, Blue huckleberry",Shrub,1.8,5-9, ,LMH,SN,DM,3,0,0
Gaylussacia ursina,Bear Huckleberry,Shrub,1.8,5-9, ,LMH,SN,M,2,0, 
Geijera parviflora,Australian Willow,Tree,12.0,9-11,F,LMH,SN,M,0,1, 
Geitonoplesium cymosum,Scrambling Lily,Perennial Climber,4.0,8-11, ,LMH,SN,M,2,0, 
Gelsemium sempervirens,"False Jasmine, Yellow Jessamine, Evening Trumpetflower, Carolina Jasmine",Climber,3.0,7-9,F,LMH,SN,M,0,4, 
Genista germanica, ,Shrub,0.6,4-8, ,LM,N,DM,0,1, 
Genista hispanica,Spanish Gorse,Shrub,0.8,5-9, ,LM,N,DM,0,1, 
Genista pilosa,"Hairy greenweed, silkyleaf broom",Shrub,0.3,5-8,S,LM,SN,DM,0,0,3
Genista pilosa procumbens,"Creeping broom, Creeping hairy broom",Shrub,0.1,6-8,S,LM,SN,DM,0,0,3
Genista sagittalis,"Winged Broom, Arrow Broom",Shrub,0.3,3-8,M,LM,SN,DM,0,0,3
Genista tinctoria,"Dyer's Greenweed, Common Woadwaxen, Broom",Shrub,0.6,4-7,M,LM,N,DM,1,2,3
Gentiana acaulis,Gentian,Perennial,0.1,3-7,S,LMH,SN,M,0,3, 
Gentiana andrewsii,"Closed Bottle Gentian, Dakota gentian",Perennial,0.6,5-9, ,LMH,SN,M,0,3, 
Gentiana crassicaulis, ,Perennial,0.4,7-10, ,LMH,SN,M,0,3, 
Gentiana cruciata, ,Perennial,0.4,-, ,LMH,SN,M,1,2, 
Gentiana dahurica, ,Perennial,0.3,4-8, ,LMH,SN,M,0,3, 
Gentiana decumbens, ,Perennial,0.3,4-8, ,LMH,SN,M,0,1, 
Gentiana kurroo, ,Perennial,0.2,6-9, ,LMH,SN,M,0,3, 
Gentiana lutea,Yellow Gentian,Perennial,1.2,4-8, ,LMH,SN,M,1,5, 
Gentiana macrophylla,Qin Jiao,Perennial,0.6,5-9, ,LMH,SN,M,1,3, 
Gentiana manshurica, ,Perennial,0.3,-, ,LMH,SN,M,0,3, 
1 2 3 4,1,2,3,4,,,,,,,
Gentiana pannonica, ,Perennial,0.6,4-8, ,LMH,SN,M,1,3, 
Gentiana pneumonanthe,Marsh Gentian,Perennial,0.3,-, ,LMH,SN,M,0,2, 
Gentiana puberulenta,Downy gentian,Perennial,0.4,5-9, ,LMH,SN,M,0,3, 
Gentiana punctata,Spotted Gentian,Perennial,0.6,4-8, ,LMH,SN,M,1,3, 
Gentiana purpurea, ,Perennial,0.6,4-8, ,LMH,SN,M,1,3, 
Gentiana saponaria,Harvestbells,Perennial,0.8,4-8, ,LMH,SN,MWe,0,3, 
Gentiana scabra,Long Dan Cao,Perennial,0.3,4-8, ,LMH,SN,M,1,3, 
Gentiana scabra buergeri, ,Perennial,0.5,4-8, ,LMH,SN,M,1,3, 
Gentiana straminea, ,Perennial,0.3,4-8, ,LMH,SN,M,0,3, 
Gentiana thunbergii, ,Annual/Biennial,0.2,-, ,LMH,SN,M,1,2, 
Gentiana triflora, ,Perennial,0.5,4-8, ,LMH,SN,M,0,2, 
Gentiana tubiflora, ,Perennial,0.1,5-9, ,LMH,SN,M,0,2, 
Gentianella amarella,"Felwort, Autumn dwarf gentian",Biennial,0.3,0-0, ,LMH,SN,M,0,3, 
Gentianella diemensis, ,Annual/Perennial,0.3,-, ,LMH,SN,M,0,1, 
Gentianella quinquefolia,Ague Weed,Annual/Biennial,0.6,-, ,LMH,SN,M,0,2, 
Geocaulon lividum,False Toadflax,Perennial,0.0,-, ,LMH,SN,M,1,1, 
Geodorum densiflorum,Nodding Swamp Orchid,Perennial,0.3,10-12,F,LM,N,M,0,2,4
Geranium bicknellii,Bicknell's cranesbill,Annual/Biennial,0.6,0-0, ,LMH,N,M,1,1, 
Geranium dissectum,"Cut-Leafed Cranesbill, Cutleaf geranium",Annual,0.6,6-9, ,LMH,N,M,1,2,0
Geranium erianthum,Wooly Geranium,Perennial,0.3,3-7, ,LMH,SN,M,1,1, 
Geranium incanum,"Geranium, Cranesbill",Perennial,0.4,4-9,F,LMH,N,M,1,0, 
Geranium lucidum,Shining geranium,Annual,0.5,6-9, ,LMH,N,DM,0,1, 
Geranium macrorrhizum,Bigroot Geranium,Perennial,0.5,4-8,F,LMH,FSN,DM,0,1, 
Geranium maculatum,"Spotted Cranesbill, Spotted geranium, Crowfoot, Wild Geranium, Cranesbill",Perennial,0.6,3-10,M,LMH,N,MWe,0,3,2
Geranium molle,Dovefoot Geranium,Annual,0.4,-, ,LMH,N,DM,0,1, 
