Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other
Abelmoschus esculentus,Okra,Annual,1.0,5-11, ,LMH,N,M,4,3,2
Abelmoschus manihot,Aibika,Perennial,3.0,8-11,F,LMH,N,M,4,1,2
Abelmoschus moschatus,"Musk Mallow,Musk Okra",Perennial,2.0,8-11,F,LMH,N,M,2,3, 
Anemopsis californica,Yerba Mansa,Perennial,0.5,7-10, ,LMH,SN,WeWa,2,2, 
Calocedrus decurrens,"Incense Cedar, California Incense Cedar",Tree,15.0,5-8,S,LMH,SN,DM,1,1, 
Centella asiatica,"Gotu Kola, Spadeleaf",Perennial,0.2,7-10, ,LMH,SN,MWe,2,5, 
Clappertonia ficifolia,Bolo Bolo,Shrub,2.5,10-12,F,LM,N,MWe,0,1,4
Decemium appendiculatum,Waterleaf,Biennial/Perennial,0.4,-, ,LMH,S,MWe,1,0, 
Desmodium canadense,Showy tick-trefoil,Perennial,0.9,3-6,F,LMH,SN,DM,0,0,3
Equisetum scirpoides,Dwarf scouring rush,Perennial,0.2,1-9,S,LMH,FSN,MWe,2,2,3
Habenaria intermedia, ,Perennial,0.5,-, ,LMH,SN,M,2,0, 
Habenaria sparsiflora,Sparse-flowered bog orchid,Perennial,0.6,0-0, ,LMH,SN,M,1,0, 
Hablitzia tamnoides,Caucasian spinach,Perennial Climber,3.0,3-9,F,LMH,FSN,M,4,0,1
Hackelia uncinatum, ,Perennial,0.7,-, ,LMH,SN,M,0,2, 
Hakea drupacea,Sweet Hakea,Shrub,2.0,8-11, ,LMH,SN,DM,0,0, 
Hakea sericea,Silky Hakea,Shrub,3.0,8-11, ,LMH,SN,DM,0,0, 
Hakea suberea,Cork Tree,Tree,5.0,-, ,LMH,SN,M,1,0, 
Halenia elliptica,Spurred Gentian,Perennial,0.6,6-9, ,LMH,S,M,0,2, 
Halerpestes sarmentosa, , ,0.0,-, ,LMH,SN,M,0,2, 
Halesia carolina,"Silver-Bell Tree, Carolina silverbell, Mountain silverbell",Tree,8.0,4-8,M,LM,N,M,1,0, 
Halesia tetraptera,Silverbell or Mountain Silverbell,Tree,10.0,4-8,M,LMH,FSN,M,2,0,2
Halimione portulacoides,Sea Purslane,Shrub,0.8,-, ,LMH,SN,MWe,3,0, 
Halimodendron halodendron,"Salt Tree, Common salttree",Shrub,2.0,0-0, ,LM,N,DM,0,0,0
Halogeton arachnoideus, ,Annual,0.3,-, ,LMH,SN,M,1,0, 
Haloxylon ammodendron,Saxaul,Shrub,2.0,0-0, ,LM,N,DM,0,0,4
Haloxylon persicum,Salt Tree,Tree,4.5,-, ,LM,N,DM,0,0, 
Haloxylon spp,Saxaul,Shrub,8.0,10-12,S,LM,N,DM,3,2,4
Hamamelis virginiana,"Witch Hazel, American witchhazel, Common Witchhazel, Virginian Witchhazel, Witchhazel",Shrub,5.0,3-8,S,LM,SN,M,1,5, 
Hancornia speciosa,"Mangaba Rubber Tree, Mangabiera",Tree,7.0,10-12,S,LM,N,M,3,2,3
Handroanthus guayacan,Guayacan,Tree,40.0,10-12,M,LMH,N,M,0,0,4
Handroanthus impetiginosus,"Pau D'Arco, Pink Trumpet Tree",Tree,20.0,10-12,F,LMH,N,M,2,4,3
Handroanthus serratifolius,Yellow Trumpet Tree,Tree,30.0,10-12,M,LMH,N,M,0,2,5
Haplopappus nuttallii, ,Perennial,0.3,-, ,LMH,SN,M,1,1, 
Haplopappus spinulosus,Spiny Ironplant,Shrub,0.6,-, ,LMH,SN,DM,0,1, 
Hardenbergia violacea,"Coral Pea, Purple Coral Pea, False Sarsaparilla, Vine Lilac",Climber,2.0,9-11,F,LMH,SN,M,1,0, 
Hebe brachysiphon, ,Shrub,2.0,6-9,F,LMH,N,M,0,0, 
Hebe dieffenbachii, ,Shrub,1.2,8-11, ,LMH,SN,M,0,0,2
Hebe 'Great Orme',Great Orme Hebe,Shrub,1.5,5-9, ,LMH,N,M,0,0,3
Hebe rakaiensis, ,Shrub,1.0,5-9, ,LMH,N,M,0,0,3
Hebe salicifolia, ,Shrub,4.5,6-9, ,LM,N,M,0,1,3
Hebe speciosa,New Zealand hebe,Shrub,1.5,6-9, ,LM,N,M,0,0,2
Hebe x franciscana,Hebe,Shrub,2.5,9-11,S,LM,SN,M,0,0,3
Hedeoma pulegioides,"American Pennyroyal, American false pennyroyal",Annual,0.3,5-9, ,LMH,SN,DM,3,3, 
Hedera helix,"Ivy, English ivy, Algerian ivy, Baltic Ivy, Common Ivy",Climber,15.0,5-11,M,LMH,FSN,MWe,0,3,4
Hedera nepalensis,Nepal Ivy,Climber,15.0,7-10,M,LMH,FSN,MWe,0,2, 
Hedychium coronarium,"Butterfly Ginger, White garland-lily, Garland Flower, Butterfly Lily",Perennial,1.5,8-11,F,LMH,N,MWe,2,2,0
Hedychium gracile, ,Perennial,0.6,8-11, ,LMH,N,M,1,0, 
Hedychium spicatum, ,Perennial,1.5,7-10, ,LMH,N,M,1,2, 
Hedysarum alpinum,Alpine Sweetvetch,Perennial,0.6,4-8, ,LMH,N,M,3,0, 
Hedysarum arcticum, ,Perennial,0.3,-, ,LMH,N,M,2,0, 
Hedysarum boreale,"Sweet Vetch, Utah sweetvetch, Northern sweetvetch",Perennial,0.1,3-7, ,LMH,N,M,4,0,3
Hedysarum boreale mackenzii,Liquorice Root,Perennial,0.1,3-7, ,LMH,N,M,4,0, 
Hedysarum hedysaroides,Alpine French Honeysuckle,Perennial,0.4,4-8, ,LMH,N,M,3,0, 
Hedysarum occidentale,"Liquorice Root, Western sweetvetch",Perennial,0.1,4-8, ,LMH,N,M,4,0, 
Hedysarum sachalinense, ,Perennial,0.5,-, ,LMH,N,M,2,0, 
Hedysarum vicioides, ,Perennial,0.7,3-7, ,LMH,N,M,2,0, 
Heimia myrtifolia, ,Shrub,1.5,7-10, ,LMH,N,M,1,1, 
Heimia salicifolia,"Erva De Vida, Shrubby yellowcrest",Shrub,3.0,7-10, ,LMH,N,M,1,1, 
Heldreichia rotundifolia, ,Perennial,0.3,-, ,LMH,SN,M,2,0, 
Helenium amarum,"Bitter Sneezeweed, Sneezeweed",Annual,0.6,0-0, ,LMH,N,M,0,1,0
Helenium autumnale,"Sneezeweed, Common sneezeweed, Fall sneezeweed, Mountain sneezeweed, False Sunflower",Perennial,1.8,3-8,F,LMH,N,M,0,2,0
Helenium hoopesii,"Owls Claws, Orange Sneezeweed",Perennial,0.9,4-8,M,LMH,SN,M,1,1, 
Helenium puberulum,Rosilla,Annual/Perennial,1.5,7-10, ,LMH,N,M,1,1, 
Helianthemum canadense,"Frostweed, Longbranch frostweed",Perennial,0.4,6-9, ,LM,N,DM,0,2, 
Helianthemum nummularium,"Common Rockrose, Sun Rose, Rock Rose",Shrub,0.5,5-8,F,LMH,SN,M,0,1, 
Helianthus annuus,"Sunflower, Common sunflower",Annual,3.0,6-9,F,LMH,SN,DM,5,2,4
Helianthus cusickii,Cusick's sunflower,Perennial,0.6,7-10,F,LMH,N,DM,3,1,0
Helianthus decapetalus,Thinleaf sunflower,Perennial,1.2,2-8,M,LMH,SN,M,0,0,2
Helianthus doronicoides, ,Perennial,1.8,4-8, ,LMH,N,M,2,0, 
Helianthus giganteus,Giant Sunflower,Perennial,3.6,4-8,F,LMH,N,M,3,0,0
Helianthus hybrids,Perennial Sunflower,Perennial,3.6,4-11,F,LMH,N,DM,4,2,2
Helianthus laetiflorus,"Showy Sunflower, Cheerful sunflower",Perennial,2.0,4-8, ,LMH,N,M,2,0, 
Helianthus lenticularis,Wild Sunflower,Annual,3.0,-, ,LMH,N,M,3,0, 
Helianthus maximilianii,"Maximillian Sunflower, Maximillian Daisy",Perennial,2.4,5-10,M,LMH,N,M,3,0,0
Helianthus pauciflorus,"Stiff Sunflower, Prairie Sunflower",Perennial,1.5,3-7,F,LMH,N,DM,4,0,1
Helianthus petiolaris,Prairie Sunflower,Annual,3.0,4-8, ,LMH,N,DM,2,1,0
Helianthus strumosus,Paleleaf Woodland Sunflower,Perennial,2.0,4-8, ,LMH,N,M,2,1, 
Helianthus tuberosus,Jerusalem Artichoke,Perennial,2.4,4-8,F,LMH,N,DM,4,1,3
Helichrysum apiculatum,Common Everlasting Flower,Shrub,0.6,8-11, ,LMH,SN,M,0,1, 
Helichrysum arenarium,Everlasting Flower,Perennial,0.3,4-8, ,LM,N,DM,0,2, 
Helichrysum italicum,Curry Plant,Shrub,0.6,7-10, ,LM,N,DM,2,0, 
Helichrysum orientale, ,Perennial,0.3,6-9, ,LM,N,DM,0,0, 
Helichrysum stoechas, ,Perennial,0.5,7-10, ,LM,N,DM,0,1, 
Helicostylis tomentosa,"Letterhout, Letter Wood",Tree,20.0,10-12,M,LMH,N,M,4,2,3
Heliopsis helianthoides,"False sunflower, Oxeye sunflower",Perennial,1.5,3-9,F,LMH,SN,DM,2,0,2
Heliotropium arborescens,"Heliotrope, Garden heliotrope, Cherry Pie, Heliotrope",Shrub,1.0,9-11,M,LMH,N,M,0,1, 
Heliotropium ellipticum, ,Perennial,0.3,-, ,LMH,SN,DM,0,1, 
Helleborus foetidus,"Stinking Hellebore, Setterwort, Bear's Foot, Bearsfoot, Setterwort, Stinkwort, Stinking Hellebore",Perennial,0.8,6-9,M,LMH,S,M,0,2, 
Helleborus niger,Black Hellebore,Perennial,0.3,3-7, ,LMH,S,M,0,2, 
Helleborus viridis,Green Hellebore,Perennial,0.3,5-9, ,LMH,S,M,0,2, 
Helwingia chinensis, ,Shrub,1.5,7-10, ,LMH,FS,M,1,1, 
Helwingia himalaica, ,Shrub,2.5,-, ,LMH,FS,M,1,0, 
Helwingia japonica, ,Shrub,1.5,7-10, ,LMH,SN,M,1,0, 
Helwingia liukiuensis, ,Shrub,1.5,-, ,LMH,FS,M,1,0, 
Hemerocallis altissima, ,Perennial,1.2,-, ,LMH,SN,DM,4,1, 
Hemerocallis aurantiaca, ,Perennial,0.8,5-9, ,LMH,SN,DM,4,1,2
Hemerocallis bulbiferum, ,Perennial,0.0,-, ,LMH,SN,DM,4,1, 
Hemerocallis citrina,Citron daylily,Perennial,0.8,4-8, ,LMH,SN,DM,4,1,2
Hemerocallis coreana, ,Perennial,0.4,0-0, ,LMH,SN,DM,4,1,0
Hemerocallis darrowiana,Day Lily,Perennial,0.1,0-0, ,LMH,SN,DM,4,1,2
1 2 3 4,1,2,3,4,,,,,,,
Hemerocallis dumortieri,Dumortier's daylily,Perennial,0.5,4-8, ,LMH,SN,DM,4,1,3
Hemerocallis exaltata, ,Perennial,1.0,4-8, ,LMH,SN,DM,4,1, 
Hemerocallis forrestii, ,Perennial,0.4,4-8, ,LMH,SN,DM,2,1, 
Hemerocallis fulva,"Common Day Lily, Orange daylily, Tawny Daylily, Double Daylily",Perennial,1.0,3-10,M,LMH,SN,DM,5,2,2
Hemerocallis fulva longituba, ,Perennial,1.0,4-8, ,LMH,SN,DM,4,1,2
Hemerocallis graminea, ,Perennial,0.8,-, ,LMH,SN,DM,4,1, 
Hemerocallis hakunensis, ,Perennial,0.8,-, ,LMH,SN,DM,4,1, 
Hemerocallis lilioasphodelus,Yellow Day Lily,Perennial,0.6,4-8, ,LMH,SN,DM,4,2,2
Hemerocallis littorea,Coastal Day Lily,Perennial,0.9,4-8, ,LMH,SN,DM,4,1,2
Hemerocallis micrantha, ,Perennial,0.8,-, ,LMH,SN,DM,4,1, 
Hemerocallis middendorffii,"Amur daylily, Middendorf, Daylily",Perennial,0.9,4-8,M,LMH,SN,DM,5,1,2
Hemerocallis middendorffii esculenta, ,Perennial,0.5,4-8, ,LMH,SN,DM,5,1, 
Hemerocallis minor,"Grassleaf Day Lily, Small daylily",Perennial,0.5,4-8, ,LMH,SN,DM,4,1,2
Hemerocallis multiflora, ,Perennial,1.0,4-8, ,LMH,SN,DM,4,1, 
Hemerocallis pedicellata, ,Perennial,0.9,-, ,LMH,SN,DM,4,1, 
Hemerocallis plicata, ,Perennial,0.5,-, ,LMH,SN,DM,4,1, 
Hemerocallis species, ,Perennial,1.2,-, ,LMH,SN,DM,4,1, 
Hemerocallis thunbergii, ,Perennial,0.5,4-8, ,LMH,SN,DM,4,1,2
Hemerocallis yezoensis, ,Perennial,0.8,4-8, ,LMH,SN,DM,4,1, 
Hemiphragma heterophyllum, ,Perennial,0.1,7-10, ,L,N,M,2,1, 
Hemiptelea davidii, ,Tree,15.0,3-7, ,LMH,SN,M,2,1, 
Hemizonia fascicuata, ,Perennial,0.9,-, ,LMH,SN,M,1,0, 
Hemizonia luzulifolia, , ,0.5,-, ,LMH,SN,M,2,0, 
Hepatica acutiloba,"American Liverleaf, Sharp-lobed Hepatica, Hepatica",Perennial,0.3,3-9,S,LM,FSN,M,0,2, 
Hepatica americana,"American Liverleaf, Alumroot, Round Lobed Hepatica",Perennial,0.3,3-9,S,LM,FSN,M,0,2, 
Hepatica nobilis,"Hepatica, Sharplobe hepatica, Roundlobe hepatica",Perennial,0.1,4-8, ,LMH,FSN,M,0,2, 
Heracleum lallii, ,Perennial,0.0,-, ,LMH,FSN,M,0,2, 
Heracleum moellendorfii, ,Perennial,1.0,-, ,LMH,FSN,M,1,0, 
Heracleum pubescens,Downy Cow-Parsnip,Biennial/Perennial,0.8,-, ,LMH,FSN,M,2,0, 
Heracleum sphondylium,"Cow Parsnip, Eltrot",Biennial/Perennial,1.8,4-8, ,LMH,FSN,M,3,2,2
Heracleum sphondylium montanum,Cow Parsnip,Perennial,2.4,4-8, ,LMH,FSN,M,3,2, 
Heracleum sphondylium sibiricum, ,Biennial,1.8,-, ,LMH,FSN,M,3,2, 
Heracleum tuberosum, ,Perennial,0.0,-, ,LMH,FSN,M,2,0, 
Heracleum wallichii, ,Perennial,0.6,-, ,LMH,FSN,M,0,1, 
Herniaria glabra,"Rupture Wort, Smooth rupturewort",Biennial/Perennial,0.0,4-8, ,LM,N,DM,0,2, 
Herniaria hirsuta,Hairy Rupture Wort,Annual/Perennial,0.0,4-8, ,LM,N,DM,0,1, 
Herpetospermum pedunculosum, ,Annual Climber,2.0,-, ,LMH,SN,M,1,2, 
Hesperaloe funifera,New Mexico false yucca,Perennial,1.8,6-9,S,LM,N,DM,0,0, 
Hesperaloe nocturna, ,Perennial,1.8,6-9,S,LM,N,DM,0,0, 
Hesperantha baurii, ,Corm,0.2,8-11, ,LM,N,DM,1,0, 
Hesperis matronalis,"Sweet Rocket, Dames rocket,",Perennial,0.8,4-10,M,LMH,SN,DM,2,1,0
Hesperocallis undulata,Desert Lily,Bulb,0.3,8-11, ,LM,N,DM,1,0, 
Heteropappus hispidus, ,Biennial,0.3,6-9, ,LMH,N,M,1,0, 
Heuchera americana,"Rock Geranium, American alumroot, Alumroot, Coral Bells, Rock Geranium",Perennial,0.5,4-9,M,LM,SN,M,0,3,2
Heuchera cylindrica,"Alum Root, Roundleaf alumroot, Alpine alumroot, Beautiful alumroot, Poker alumroot",Perennial,0.5,4-8, ,LM,SN,M,1,2, 
Heuchera diversifolia,"Alum Root, Crevice alumroot",Perennial,0.6,4-8, ,LM,SN,M,1,1, 
Heuchera glabra,Alpine Heuchera,Perennial,0.6,4-8, ,LM,SN,M,1,1, 
Heuchera micrantha,"Alum Root, Crevice alumroot, Hartweg's alumroot, Coral Bells",Perennial,0.7,4-9,F,LM,SN,M,1,2, 
Heuchera sanguinea,"Alum Root, Coralbells, Crimson Bells",Perennial,0.5,4-10,M,LM,SN,M,0,0, 
Heuchera versicolor,Pink alumroot,Perennial,0.2,8-11, ,LM,SN,M,0,1, 
Hevea benthamiana,Hevea,Tree,20.0,10-12,F,LMH,SN,M,3,0,4
Hevea brasiliensis,"Para Rubber Tree, Brazilian Rubber Tree",Tree,20.0,11-12,F,LMH,SN,M,2,0,5
Hibiscus acetosella,"False Roselle, African rosemallow, Cranberry Hibiscus",Annual/Perennial,0.0,9-11, ,LMH,N,M,2,0, 
Hibiscus cannabinus,"Kenaf, Brown Indianhemp",Annual/Perennial,1.8,6-12,F,LMH,N,M,4,2,3
Hibiscus diversifolius,Swamp Hibiscus,Shrub,1.0,9-11, ,LMH,N,M,2,1, 
Hibiscus heterophyllus,Native Rosella,Shrub,1.8,9-11, ,LMH,N,M,2,0, 
