Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other
Afzelia africana,African Mahogany,Tree,8.0,10-12,M,LMH,N,MWe,2,2,4
Belamcanda chinensis,"Leopard Lily, Blackberry lily, Leopard Flower",Perennial,1.0,4-10,F,LM,SN,M,1,3, 
Dittrichia viscosa,False yellowhead,Perennial,0.5,0-0, ,LMH,N,M,0,0, 
Gynandriris sisyrinchium,Spanish Nut,Perennial,0.2,7-10, ,MH,SN,DM,1,0, 
Iberis amara,"Rocket Candytuft, Annual candytuft",Annual,0.3,6-9,F,LMH,N,DM,1,2, 
Iberis umbellata,"Candytuft, Globe candytuft",Annual,0.3,0-0,F,LMH,N,DM,0,0, 
Idesia polycarpa,Idesia,Tree,12.0,4-8, ,LMH,SN,M,1,0, 
Ilex aculeolata, ,Shrub,3.0,-, ,LMH,SN,M,1,0, 
Ilex aquifolium,"Holly, English holl, Christmas Holly, Common Holly, English Holly",Shrub,9.0,5-9,S,LMH,FSN,DM,2,2,4
Ilex asprella, ,Shrub,3.0,-, ,LMH,SN,M,0,2, 
Ilex cassine,"Cassine, Dahoon, Cassine Holly",Tree,10.0,7-11,S,LMH,SN,M,1,1, 
Ilex chapaensis, ,Shrub,10.0,-, ,LMH,SN,M,1,0, 
Ilex coriacea,Large Gallberry,Shrub,3.0,6-9, ,LMH,SN,M,1,0, 
Ilex cornuta,"Horned Holly, Chinese holly",Shrub,4.0,7-9,M,LMH,SN,M,1,2, 
Ilex crenata,"Japanese Holly, Box Leaved Holly",Shrub,5.0,6-8,S,LMH,SN,M,1,0, 
Ilex glabra,Inkberry,Shrub,3.0,3-7,S,LMH,SN,M,1,0,2
Ilex integra,Mochi Tree,Tree,6.0,6-9, ,LMH,SN,M,1,0, 
Ilex latifolia,Tarajo,Tree,10.0,6-9, ,LMH,SN,M,1,0, 
Ilex macropoda, ,Tree,13.0,6-9, ,LMH,SN,M,1,0, 
Ilex opaca,American Holly,Shrub,15.0,4-8,S,LMH,SN,M,2,2, 
Ilex pedunculosa, ,Shrub,10.0,4-8, ,LMH,SN,M,1,1, 
Ilex pubescens, ,Shrub,3.5,7-10, ,LMH,SN,M,0,2, 
Ilex purpurea, ,Tree,12.0,7-10, ,LMH,SN,M,0,2, 
Ilex rotunda,Kurogane holly,Tree,20.0,6-9, ,LMH,SN,M,0,1, 
Ilex verticillata,"Winterberry, Common winterberry",Shrub,2.0,3-7,S,LMH,SN,MWe,1,3, 
Ilex vomitoria,"Yaupon Holly,",Shrub,6.0,6-9,S,LMH,SN,M,1,1, 
Ilex x altaclerensis,Holly,Shrub,4.0,5-9,S,LMH,SN,M,0,0, 
Ilex yunnanensis, ,Shrub,4.0,5-9, ,LMH,SN,M,0,1, 
Illicium anisatum,"Star Anise, Chinese Anise,Japanese Anise",Shrub,6.0,7-10,S,LM,SN,M,1,2, 
Illicium floridanum,"Aniseed Tree, Florida anisetree, Purple Anise, Star Anise, Florida anise",Shrub,2.0,6-10,S,LM,SN,M,1,0, 
Illicium verum,"Ba Jiao Hui Xian, Staranise tree",Tree,5.0,7-10, ,LM,SN,M,3,3, 
Impatiens aurella,Paleyellow touch-me-not,Annual,0.0,0-0, ,LMH,SN,M,2,2, 
Impatiens balsamina,"Rose Balsam, Spotted snapweed, Touch-Me-Not, Garden Balsam",Annual,0.6,0-0,M,LMH,SN,M,2,2, 
Impatiens capensis,Jewelweed,Annual,1.2,-,F,LMH,SN,M,3,2, 
Impatiens ecalcarata, ,Annual,0.0,-, ,LMH,SN,M,2,2, 
Impatiens edgeworthii, ,Annual,0.6,-, ,LMH,SN,M,0,0, 
Impatiens glandulifera,"Jewelweed, Ornamental jewelweed",Annual,1.5,5-9,F,LMH,SN,M,3,1,0
Impatiens noli-tangere,Touch-Me-Not,Annual,1.0,5-9, ,LMH,SN,M,3,2, 
Impatiens occidentalis, ,Annual,0.0,-, ,LMH,SN,M,3,2, 
Impatiens pallida,"Pale Jewelweed, Pale touch-me-not",Annual,1.5,7-10, ,LMH,SN,M,3,3, 
Impatiens parviflora,Smallflower touchmenot,Annual,1.0,0-0, ,LMH,SN,M,2,2, 
Impatiens sulcata, ,Annual,1.5,-, ,LMH,SN,M,2,0, 
Impatiens textori, ,Annual,0.6,-, ,LMH,SN,MWe,1,0, 
Impatiens tingens, ,Annual,0.6,-, ,LMH,SN,M,1,0, 
Imperata cylindrica,"Cogongrass, Japanese Blood Grass",Perennial,1.2,6-9,S,LMH,N,DM,3,3,0
Incarvillea delavayi,Hardy Gloxinia,Perennial,0.4,7-9,M,LM,SN,M,1,0, 
Incarvillea sinensis, ,Annual/Perennial,0.9,4-8, ,LM,SN,M,1,1, 
Indigofera arrecta,"Bengal Indigo, Java indigo, Natal indigo",Perennial,2.0,10-12,M,LMH,N,M,2,2,4
Indigofera cassioides, ,Shrub,3.5,8-11, ,LM,N,M,1,1, 
Indigofera decora,Chinese indigo,Shrub,1.0,5-7,M,LM,N,M,2,1,3
Indigofera hebepetala, ,Shrub,1.2,7-10, ,LM,N,M,1,0, 
Indigofera hendecaphylla,"Creeping indigo, spicate indigo, trailing indigo",Shrub,0.5,10-12,F,LMH,FSN,DM,0,0,4
Indigofera heterantha,Indigo Bush,Shrub,3.0,6-9, ,LM,N,DM,1,0, 
Indigofera kirilowii,"Kirilow's indigo, Indigo",Shrub,1.5,5-7,M,LM,N,M,0,1, 
Indigofera pseudotinctoria,Indigo,Shrub,1.0,6-10,M,LM,N,M,1,0, 
Indigofera suffruticosa,"Anil Indigo, Anil de pasto",Perennial,1.5,10-12,F,LMH,SN,DM,0,2,4
Indigofera tinctoria,"Indigo, True Indigo, dye indigo",Shrub,2.0,5-12,F,LMH,SN,M,2,2,4
Indocalamus latifolius, ,Bamboo,1.0,7-10, ,LMH,S,M,0,0, 
Inga cinnamomea,"Inga Assu, Inga Acu",Tree,12.0,10-12,F,LMH,N,M,4,0,3
Inga densiflora,Densely flowered Inga,Tree,15.0,10-12,M,LMH,N,M,4,0,2
Inga edulis,"Ice Cream Bean, Monkey Tamarind",Tree,18.0,9-12,F,LMH,SN,DMWe,4,2,3
Inga insignis,Guaba de zorro,Tree,8.0,10-12,M,LMH,SN,DM,4,0,0
Inga jinicuil,"Ice Cream Bean, Jinicuil",Tree,20.0,10-12,F,LMH,N,M,4,0,1
Inga vera,"Ice cream bean, River koko, Guaba, Pois Doux",Tree,15.0,10-12,F,MH,N,M,2,2,3
Inocarpus fagifer,"Tahiti Chestnut, Polynesian Chestnut",Tree,20.0,10-12,M,LMH,FSN,MWe,4,2,2
Intsia bijuga,"Moluccan Ironwood, Ipil",Tree,25.0,11-12,S,LM,SN,DM,1,2,4
Intsia palembanica,"Borneo Teak, Merbau",Tree,80.0,10-12,S,LM,N,DM,1,1,4
Inula britannica,"Xuan Fu Hua, British yellowhead",Perennial,0.8,6-9, ,LMH,N,MWe,0,3, 
Inula britannica chinensis,Xuan Fu Hua,Perennial,0.6,6-9, ,LMH,SN,M,1,3, 
Inula cappa,Sheep's Ear,Shrub,1.8,-, ,LMH,SN,M,0,2, 
Inula conyza,Ploughman's Spikenard,Biennial/Perennial,1.2,5-9, ,LMH,N,M,0,1, 
Inula crithmoides,Golden Samphire,Perennial,1.0,-, ,LMH,SN,M,2,0, 
Inula helenium,"Elecampane, Elecampane inula",Perennial,1.5,4-8, ,LMH,SN,M,3,3,2
Inula racemosa, ,Perennial,2.0,6-9, ,LMH,N,M,0,2, 
Inula royleana, ,Perennial,0.6,5-9, ,LMH,N,M,0,1, 
Ipomoea alba,"Moonflower, Tropical white morning-glory",Perennial Climber,10.0,7-10,F,LM,N,M,2,1,0
Ipomoea aquatica,Swamp Morning Glory,Annual/Perennial,0.5,7-12,F,LMH,N,MWeWa,4,2,0
Ipomoea batatas,"Sweet Potato, Black Sweet Potato, Sweet Potato Vine",Perennial Climber,3.0,10-12,F,LM,N,M,5,0,3
Ipomoea jalapa,Jalap,Climber,3.0,-, ,LMH,SN,M,0,3, 
Ipomoea leptophylla,Bush Moon Flower,Perennial,1.2,8-11, ,LMH,N,M,3,2,1
Ipomoea nil,"Japanese Morning Glory, Whiteedge morning-glory",Annual,5.0,8-11,F,LMH,N,M,0,2, 
Ipomoea pandurata,"Wild Potato Vine, Man of the earth",Perennial Climber,3.5,6-9,F,LMH,N,M,3,2,2
Ipomoea purpurea,"Common Morning Glory, Tall morning-glory",Annual Climber,2.5,6-9,F,LMH,N,M,0,2,0
Ipomoea sagittata,"Saltmarsh Morning Glory, Saltmarsh morning-glory", ,0.0,0-0, ,LMH,SN,M,0,1, 
Ipomoea tricolor,"Morning Glory, Grannyvine",Perennial Climber,5.0,10-11,F,LMH,N,M,0,1, 
Ipomopsis aggregata,"Skyrocket, Scarlet gilia",Biennial/Perennial,1.0,6-9,S,LM,N,DM,1,2, 
Ipomopsis congesta,Ballhead ipomopsis,Perennial,0.3,0-0, ,LMH,SN,M,0,1, 
Iris cristata,"Crested Iris, Dwarf crested iris",Perennial,0.2,5-9,M,LM,SN,M,1,1, 
Iris decora, ,Perennial,0.3,-, ,LM,N,DM,0,1, 
Iris douglasiana,"Mountain Iris, Douglas iris",Perennial,0.3,6-9, ,LM,SN,DMWe,0,0,0
Iris ensata,Japanese Water Iris,Perennial,0.6,5-8,M,LM,N,MWe,1,1, 
Iris filifolia, ,Bulb,0.5,-, ,LM,N,DM,1,0, 
Iris foetidissima,"Stinking Gladwin, Stinking iris, Gladwin Iris",Perennial,1.0,7-10,M,LMH,FSN,DMWe,0,2, 
Iris germanica,"Purple Flag, German iris, Orris-root, Tall Bearded German Iris, Bearded Iris",Perennial,1.0,4-10,M,LM,SN,DM,1,3, 
Iris germanica florentina,"Orris, Orris-root",Perennial,0.9,5-10,M,LM,SN,M,1,3, 
Iris japonica, ,Perennial,0.6,-, ,LM,SN,DM,1,2, 
Iris kemaonensis, ,Perennial,0.5,-, ,LM,SN,DM,0,2, 
Iris macrosiphon,Bowltube Iris,Perennial,0.2,-, ,LM,SN,M,0,1, 
Iris missouriensis,Rocky Mountain Iris,Perennial,0.8,0-0, ,LM,SN,MWe,1,2,0
Iris pallida,"Dalmation Iris, Sweet iris, Fragrant Iris, Zebra Iris",Perennial,1.0,4-10,M,LM,SN,DM,2,1, 
1 2,1,2,,,,,,,,,
Iris pseudacorus,"Yellow Flag, Paleyellow iris",Perennial,1.5,5-8,M,LM,SN,MWeWa,1,2,2
Iris purdyi,Purdy's Iris,Perennial,0.4,-, ,LM,SN,DM,0,0, 
Iris sanguinea,Blood iris,Perennial,0.8,5-9, ,LM,SN,MWe,0,1, 
Iris setosa,"Beachhead Iris, Canada beachhead iris, Wild flag",Perennial,0.6,4-8,M,LM,SN,MWe,1,1, 
Iris sibirica,Siberian Iris,Perennial,0.6,4-9,F,LM,SN,MWe,1,1, 
Iris tectorum,"Roof Iris, Wall iris, Japanese Roof, White Root Iris",Perennial,0.3,5-9,M,LM,SN,DM,1,0, 
Iris tenax,"Tough-Leaf Iris, Klamath iris",Perennial,0.3,0-0, ,LM,SN,DM,0,1, 
Iris versicolor,"Blue Flag, Harlequin blueflag",Perennial,0.6,4-8, ,LM,SN,MWe,0,3, 
Irvingia gabonensis,Dika Nut,Tree,30.0,10-12,S,LMH,SN,M,4,3,3
Irvingia wombolu,Bitter bush-mango,Tree,20.0,10-12,S,LMH,SN,M,4,2,2
Iryanthera laevis,Cumala,Tree,25.0,8-12,M,LMH,N,M,3,0,0
Isatis glauca, ,Perennial,1.0,6-9, ,LMH,N,M,0,0, 
Isatis japonica, ,Biennial,0.0,-, ,LMH,N,M,0,0, 
Isatis lusitanica, ,Annual/Biennial,0.6,-, ,LMH,N,M,1,0, 
Isatis tinctoria,"Woad, Dyer's woad",Biennial/Perennial,1.0,6-9, ,LMH,SN,M,2,3,0
Isodon inflexus, ,Perennial,0.6,-, ,LMH,SN,M,1,0, 
Isodon japonicus, ,Perennial,1.0,-, ,LMH,SN,M,1,1, 
Isodon longitubus, ,Perennial,1.0,-, ,LMH,SN,M,1,0, 
Isodon rugosus, ,Shrub,1.5,-, ,LMH,SN,M,1,0, 
Isopogon ceratophyllus,Horny Conebush,Shrub,0.6,-, ,LMH,SN,M,0,1, 
Itea japonica, ,Shrub,0.0,-, ,LMH,SN,M,1,0, 
Iva axillaris,"Deathweed, Povertyweed",Perennial,0.2,0-0, ,LMH,SN,M,0,1,0
Iva xanthifolia,Giant Sumpweed,Annual,1.0,0-0, ,LMH,SN,M,0,1,1
Ixeris chinensis, ,Perennial,0.0,-, ,LMH,SN,M,1,0, 
Ixeris dentata, ,Perennial,0.5,-, ,LMH,SN,M,2,0, 
Ixeris japonica, ,Perennial,0.2,-, ,LMH,SN,M,1,0, 
Ixeris lanceolata, ,Perennial,0.2,-, ,LMH,SN,M,2,0, 
Ixeris polycephala, ,Biennial,0.3,-, ,LMH,SN,MWe,1,1, 
Ixeris repens, ,Perennial,0.0,-, ,LMH,SN,M,1,0, 
Ixeris sonchfolia, ,Perennial,0.0,-, ,LMH,SN,M,1,0, 
Ixeris stolonifera,Creeping lettuce,Perennial,0.2,0-0, ,LMH,SN,M,1,0, 
Mimusops elengi,"Spanish Cherry, Bakul",Tree,15.0,10-12,M,LMH,FSN,M,3,2,4
Parkia biglobosa,African Locust Bean,Tree,15.0,10-12,M,LMH,N,M,4,2,4
Peucedanum ostruthium,Masterwort,Perennial,1.2,4-8, ,LMH,SN,M,2,2, 
Porteresia coarctata,Wild rice. Uri. Tropical wild rice,Perennial,2.0,10-12,F,LMH,N,MWeWa,3,0,3
Pulicaria dysenterica,"Fleabane, Meadow false fleabane",Perennial,0.6,6-9, ,LMH,N,MWe,0,1, 
Tabernanthe iboga,Iboga,Shrub,1.5,10-12,F,LMH,SN,MWe,0,4,0
Youngia denticulata, ,Annual/Biennial,0.6,-, ,LM,SN,M,1,1, 
1 2,1,2,,,,,,,,,
