Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other
Actinidia kolomikta,Kiwi,Climber,10.0,5-8,M,LMH,SN,M,4,0,0
Aster yomena, ,Perennial,1.5,5-9, ,LMH,N,M,1,0, 
Carthamus lanatus,Distaff Thistle,Annual,0.6,6-10, ,LM,N,DM,1,1,1
Cedrelopsis grevei,"Katrafay, Kathrafay",Tree,22.0,10-12,S,LMH,N,DM,2,4,3
Euonymus latifolius, ,Shrub,3.0,4-8, ,LMH,SN,DM,0,0, 
Funtumia elastica,West African Rubber Tree. Lagos silk rubber,Tree,25.0,10-12,F,LMH,N,M,0,2,3
Kadsura coccinea, ,Climber,0.0,-, ,LMH,SN,M,2,1, 
Kadsura heteroclita, ,Climber,10.0,-, ,LMH,SN,M,2,0, 
Kadsura japonica, ,Climber,3.5,6-9, ,LMH,SN,M,2,1, 
Kadsura longepedunculata, ,Climber,3.5,-, ,LMH,SN,M,2,2, 
Kadsura oblongifolia, ,Climber,0.0,-, ,LMH,SN,M,2,0, 
Kalimeris incisa, ,Perennial,1.5,4-8, ,LMH,SN,M,1,0, 
Kalimeris laureana, ,Perennial,1.5,-, ,LMH,SN,M,1,0, 
Kalimeris pinnatifida,Japanese Aster,Perennial,1.5,5-8,M,LMH,SN,M,1,0, 
Kalmia angustifolia,Sheep Laurel,Shrub,1.5,-, ,LMH,SN,M,0,2, 
Kalmia latifolia,"Mountain Laurel, Calico Bush, Ivy",Shrub,3.0,4-8,S,LMH,SN,M,0,2, 
Kalmia polifolia,"Swamp Laurel, Bog laurel",Shrub,0.5,0-0, ,LMH,SN,M,0,2, 
Kalopanax sciadophylloides, ,Tree,0.0,-, ,LMH,SN,M,1,0, 
Kalopanax septemlobus,"Tree Aralia, Castor aralia",Tree,25.0,4-8,S,LMH,SN,M,2,1, 
Kerria japonica,"Bachelor's Button, Japanese rose, Jew's Mallow, Japanese Kerria",Shrub,2.0,4-9,M,LMH,SN,M,1,1, 
Keteleeria davidiana, ,Tree,30.0,6-9, ,LM,N,DM,0,0, 
Khaya anthotheca,"White Mahogany, East African Mahogany",Tree,50.0,9-12,F,MH,N,M,0,2,4
Khaya senegalensis,Dryzone Mahogany,Tree,25.0,10-12,F,LMH,SN,MWe,2,3,4
Kickxia elatine,"Fluellen, Sharpleaf cancerwort",Annual,0.5,0-0, ,LM,SN,M,0,1,0
Kinugasa japonica,Kinugasaso,Perennial,0.5,7-10, ,LMH,SN,M,1,0, 
Kirkophytum lyallii, ,Perennial,0.2,-, ,LMH,SN,M,1,0, 
Knautia arvensis,"Field Scabious, Field scabiosa",Perennial,1.0,5-9, ,LMH,SN,DM,0,2, 
Knightia excelsa,Rewarewa,Tree,20.0,8-11, ,LMH,SN,M,1,0, 
Kniphofia uvaria,"Red Hot Poker , Common Torch Lily, Torch Lily, Poker Plant, Tritoma",Perennial,2.0,5-9,F,LM,N,M,0,0, 
Koeleria macrantha,"June Grass, Prairie Junegrass",Perennial,0.5,0-0, ,LMH,SN,M,1,1, 
Koelreuteria paniculata,"Golden Rain Tree, Varnish Tree",Tree,10.0,5-8,F,LMH,N,DM,2,1, 
Kosteletzkya pentacarpos, ,Perennial,1.0,6-9, ,LM,N,M,3,0, 
Kuhnia eupatorioides, ,Perennial,0.2,-, ,LM,SN,M,0,1, 
Kummerowia stipulacea,"Korean Lespedeza, Korean clover",Annual,0.4,0-0,F,LMH,N,DM,0,1,0
Kummerowia striata,"Common Lespedeza, Japanese clover",Annual,0.2,0-0, ,LMH,SN,M,2,1,0
Kunzea muelleri, ,Shrub,0.9,-, ,LMH,SN,M,1,1, 
Kunzea pomifera, ,Shrub,0.0,-, ,LMH,N,M,1,0, 
Leptospermum ericoides, ,Shrub,3.0,7-10, ,LMH,N,M,1,1, 
Musa x paradisiaca,Banana,Perennial,8.0,10-12,F,LMH,N,M,5,2,2
Pycnanthemum albescens,Whiteleaf Mountain Mint,Perennial,0.5,-, ,LMH,SN,DM,0,1, 
Pycnanthemum flexuosum,"Mountain Mint, Appalachian mountainmint",Perennial,1.0,4-8, ,LMH,SN,M,1,2, 
Pycnanthemum incanum,Hoary Mountain Mint,Perennial,1.0,-, ,LMH,SN,DM,1,2, 
Pycnanthemum muticum,Cluster Mountain Mint,Perennial,1.0,4-8, ,LMH,SN,M,1,0, 
Pycnanthemum pilosum,"Mountain Mint, Whorled mountainmint",Perennial,1.5,4-8, ,LMH,SN,DM,2,0, 
Pycnanthemum virginianum,Virginia Mountain Mint,Perennial,1.0,4-8, ,LMH,SN,DM,2,2, 
Schisandra grandiflora, ,Climber,6.0,7-10, ,LMH,S,M,4,0, 
Xyris caroliniana,Carolina Yelloweyed Grass,Perennial,1.0,-, ,LMH,SN,MWe,0,1, 
