Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other
Blechnum spicant,"Hard Fern, Deer fern",Fern,0.3,4-8,S,LMH,FSN,M,2,1, 
Cardaria draba,"Hoary Cress, Whitetop",Perennial,1.0,5-9, ,LMH,SN,M,2,1,0
Cardiocrinum cordatum, ,Bulb,1.8,6-9, ,LMH,S,M,2,0, 
Cardiocrinum giganteum, ,Bulb,1.8,6-9, ,LMH,S,M,0,1, 
Caulophyllum thalictroides,"Papoose Root, Blue cohosh",Perennial,0.5,6-9, ,LM,FS,M,1,3, 
Chlorogalum pomeridianum,"Soap Lily, Wavyleaf soap plant",Bulb,2.0,7-10, ,LMH,SN,M,3,2,0
Cicerbita alpina,Blue Sow Thistle,Perennial,1.0,4-8, ,LM,S,M,2,1, 
Coreopsis calliopsidea,Leafstem tickseed,Annual,0.6,0-0, ,LM,N,DM,0,0, 
Coreopsis gigantea,"Giant coreopsis, Sea Dahlia",Perennial,2.5,10-11,M,LM,N,DM,0,0, 
Coronopus didymus,"Swine Wartcress, Lesser swinecress",Annual/Biennial,0.3,0-0, ,LMH,SN,M,2,0,0
Cyathodes colensoi, ,Shrub,0.3,7-10,S,LMH,S,M,2,0, 
Cyathodes fraseri, ,Shrub,0.2,7-10,S,LMH,FS,M,2,0, 
Cymbalaria muralis,Kenilworth Ivy,Perennial,0.1,3-7, ,LMH,S,DM,2,1, 
Elymus glauca,Blue Wild Rye,Perennial,1.0,4-8, ,LMH,N,DM,2,0, 
Farfugium japonicum,Leopard Plant,Perennial,0.8,6-10,M,LMH,SN,M,1,1, 
Fritillaria camschatcensis,"Kamchatka Lily, Kamchatka fritillary",Bulb,0.5,4-8, ,LM,SN,M,4,0, 
Fritillaria pudica,Yellow Fritillary,Bulb,0.2,3-7, ,LM,SN,DM,3,0, 
Gaylussacia dumosa,Dwarf Huckleberry,Shrub,0.3,5-9, ,LM,SN,M,3,0,0
