Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other
Acacia catechu,"Cutch tree, Catechu acacia",Tree,15.0,10-12,F,LMH,N,DM,1,2,3
Acacia decurrens,Green Wattle,Tree,12.0,6-9,F,LM,N,DM,2,1,3
Acacia longifolia,"Sydney Golden Wattle, Acacia",Tree,9.0,10-11,M,L,N,DM,3,0, 
Aesculus spp,Horse chestnut,Tree,30.0,4-9,F,LMH,SN,DM,4,4,4
Agoseris aurantiaca,"Mountain Dandelion, Orange agoseris",Perennial,0.6,0-0, ,Lm,N,DM,2,1, 
Alangium platanifolium,Alangium,Shrub,3.0,6-10, ,LMH,N,M,1,1, 
Amelanchier obovalis,"Southern Juneberry, Coastal serviceberry",Tree,1.5,5-9, ,LMH,SN,M,3,0,1
Arnebia benthamii, ,Perennial,0.9,6-9, ,L,N,DM,0,1, 
Arnebia euchroma, ,Perennial,0.3,-, ,L,N,DM,0,2, 
Arundinaria spp,Running Bamboo,Bamboo,10.0,4-10,F,LMH,FSN,M,3,1,4
Astronium balansae,Astronium,Tree,15.0,10-12, ,LM,N,M,0,0,4
Astronium urundeuva,Urunday,Tree,10.0,10-12,M,LMH,N,DM,0,4,3
Cacalia peltifolia, ,Perennial,1.8,-, ,LMH,FS,WeM,1,0, 
Calamus spp.,Rattan Palm,Perennial,50.0,10-12,M,LMH,SN,M,2,2,5
Calathea allouia,"Sweetcorn Root, Guinea Arrowroot",Perennial,2.0,10-12,M,LMH,SN,M,4,0,1
Camelina sativa,Gold Of Pleasure,Annual,0.6,6-9, ,LMH,SN,DM,3,0, 
Carpobrotus acinaciformis,Hottentot Fig,Perennial,0.1,8-11, ,L,N,DM,2,0, 
Carpobrotus edulis,"Hottentot Fig,",Perennial,0.1,7-10, ,L,N,DM,2,2,2
Carya hybrids,Hybrid and neohybrid hickories,Tree,40.0,4-11,M,LMH,N,DM,4,3,3
Chenopodium spp.,Perennial quinoa,Perennial,2.0,4-10,F,LMH,N,DM,5,3,2
Citrullus colocynthis,"Perennial egusi, Bitter-apple",Perennial,3.0,10-12,F,LM,N,DM,3,2,3
Corylus hybrids & neohybrids,"Hybrid & Neohybrids, Hazel, Filbert",Shrub,25.0,4-9,M,LMH,SN,M,5,2,5
Couepia bracteosa,Pajura,Tree,15.0,10-12,M,LMH,SN,M,4,0,2
Crataegus tanacetifolia,Tansy-Leaved Thorn,Tree,10.0,6-8, ,LMH,SN,DMWe,5,2,3
Disphyma australe,Pig's Face,Perennial,0.1,8-11, ,LM,N,DM,1,0, 
Dracocephalum parviflorum,American Dragonhead,Annual/Biennial,1.0,6-9, ,LMH,SN,M,1,1, 
Ensete ventricosum,"Ethiopian Banana, Abyssinian banana",Perennial,6.0,9-11, ,LMH,N,M,2,0, 
Eriobotrya japonica,"Loquat, Japanese Loquat",Tree,9.0,8-11,M,LMH,SN,DM,4,3,2
