Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other
Acacia koaia,Koai'a,Tree,5.0,10-12,F,LMH,N,DM,0,1,4
Acanthosicyos horridus,Naras. Butterpips,Perennial,1.0,9-11,F,LM,N,DM,3,2,2
Agave murpheyi,"Hohokam Agave, Murphey agave",Perennial,1.0,8-12,S,LMH,N,DM,2,0,4
Allanblackia parviflora,"Vegetable tallow tree, Ouotera",Tree,20.0,10-12,F,LMH,SN,M,3,2,2
Alternanthera sissoo,"Brazilian Spinach, Sambu, Samba lettuce",Perennial,0.4,10-12,F,LMH,FSN,M,4,0,3
Annona atemoya,Atemoya,Tree,8.0,10-12,F,LMH,N,D,4,0,2
Annona salzmannii,Beach Sugar Apple,Tree,12.0,10-12,S,LM,SN,M,4,0,2
Annona vepretorum,"Araticum, Pinha da Caatinga, Araticum-da-bahia",Tree,6.0,10-12,S,LMH,N,D,4,0,2
Arachis pintoi,Pinto peanut,Perennial,0.3,8-12,F,LMH,FSN,MWe,0,0,3
Artocarpus camansi,"Breadnut, Kamansi",Tree,15.0,10-12,F,LMH,N,M,4,1,3
Astrebla squarrosa,Bull Mitchell grass,Perennial,1.5,4-12,F,LMH,N,DM,4,0,1
Ateleia glazioveana,TIMBO,Tree,13.0,10-12,F,LMH,N,M,0,0,4
Azolla pinnata,"Water Fern, Ferny or Red Azolla",Fern,0.0,11-12,F,LMH,FSN,MWeWa,0,0,4
Baikiaea plurijuga,"Rhodesian Teak, Zambesi Redwood",Tree,15.0,10-12,S,LMH,SN,M,1,2,4
Bloomeria crocea,"Golden Stars, Common goldenstar",Bulb,0.3,7-10, ,LM,N,M,1,0, 
Brassica juncea integrifolia crispifolia,Curled Mustard,Annual,0.3,6-10,F,LMH,SN,M,4,2,2
Brassica juncea integrifolia rugosa,Head Mustard,Annual,0.6,6-10,F,LMH,SN,M,4,2,2
Brassica juncea integrifolia strumata,Large Petiole Mustard,Annual,0.8,6-10,F,LMH,SN,M,4,2,2
Brassica juncea integrifolia subintegrifolia,Leaf Mustard,Annual,0.3,6-10,F,LMH,SN,M,4,2,2
Brassica juncea tsatsai multiceps,Green In The Snow,Annual,0.4,6-10,F,LMH,SN,M,4,2,2
Buchanania lanzan,"Almondette, Charoli Nut",Tree,12.0,10-12,M,LMH,N,DM,4,2,3
Bulnesia sarmientoi,Pao Santo,Tree,18.0,10-12,S,LMH,N,DM,0,1,4
Caryodendron orinocense,"Taccy Nut, Nuez de Barinas",Tree,25.0,10-12,F,LMH,N,M,3,1,2
Castilla ulei,Caucho Negro,Tree,30.0,10-12,M,LMH,N,M,2,0,3
Casuarina oligodon,"She-oak, kilu",Tree,25.0,10-12,M,LMH,N,M,0,0,4
Centrolobium sclerophyllum,Hard leaved tarara,Tree,20.0,10-12,F,LMH,N,DM,0,0,4
Chlorocardium rodiei,"Greenheart, Demerara Greenheart",Tree,30.0,10-12,M,LMH,N,M,0,2,5
Chondrilla ambigua,"Chondrilla, Sha di fen bao ju",Perennial,0.5,4-9,F,LMH,N,DM,0,0,3
Cinnamomum loureiroi,Saigon Cinnamon,Tree,18.0,10-12,M,LMH,SN,M,4,3,2
Citropsis gilletiana,Gillet's cherry-orange,Tree,9.0,10-12,M,LMH,N,M,0,0,3
Citrus x paradisi,"Grapefruit, Pomelo, Pamplemousse",Tree,7.0,9-11,M,LMH,N,S,4,1,1
Copaifera multijuga,"Hayne oil, Copaiba,",Tree,20.0,10-12,S,LM,FS,DM,1,4,3
Cordeauxia edulis,Yeheb. Yeheb nut,Shrub,4.0,10-12,S,LM,N,DM,3,2,3
Cucurbita digitata,Coyote Gourd,Perennial,5.0,10-12,M,LMH,N,DM,3,0,0
Dalbergia baronii,"Palissandre rouge des marais, hitsika, sovodrano",Tree,20.0,10-12,M,LM,N,Mwe,0,0,4
Diospyros mun,"Mun Ebony, Vietnamese Ebony",Tree,15.0,10-12,S,LMH,N,DM,0,0,4
Diospyros quaesita,"Calamander, kalu mediriya",Tree,30.0,10-12,S,LMH,N,DM,0,2,4
Dryopteris filix-mas,Male Fern,Fern,1.2,3-8,M,LMH,S,DM,2,4, 
Erythrina sandwicensis,"Wiliwili, Hawaiian coral tree",Tree,10.0,10-12,F,LMH,N,DM,0,2,2
Esenbeckia leiocarpa,"Brazilian Boxwood, Guaranta",Tree,25.0,10-12,M,LMH,FS,M,0,0,4
Eucalyptus brassiana,Cape York red gum,Tree,20.0,9-11,F,LMH,N,DM,0,0,4
Eucalyptus urophylla,Timor White Gum,Tree,40.0,10-12,F,MH,N,M,0,0,3
Euplassa cantareirae,Louro Faja,Tree,20.0,10-12,M,LMH,SN,M,0,0,4
Garcinia mangostana,"Mangosteen, Manggis",Tree,12.0,11-12,S,MH,SN,M,5,2,2
Genista pilosa procumbens,"Creeping broom, Creeping hairy broom",Shrub,0.1,6-8,S,LM,SN,DM,0,0,3
Gigantochloa balui,Clumping Bamboo,Bamboo,10.0,10-12,F,LMH,N,M,2,0,3
Glechoma hederacea,"Ground Ivy, Field Balm, Gill Over The Ground, Runaway Robin",Perennial,0.2,3-10,F,MH,SN,M,2,3,3
Grazielodendron riodocensis,Grazielodendron,Tree,23.0,10-12,S,LMH,SN,M,0,0,4
Hablitzia tamnoides,Caucasian spinach,Perennial Climber,3.0,3-9,F,LMH,FSN,M,4,0,1
Helianthus cusickii,Cusick's sunflower,Perennial,0.6,7-10,F,LMH,N,DM,3,1,0
Helianthus decapetalus,Thinleaf sunflower,Perennial,1.2,2-8,M,LMH,SN,M,0,0,2
Iryanthera laevis,Cumala,Tree,25.0,8-12,M,LMH,N,M,3,0,0
Leopoldinia piassaba,Piassaba,Tree,10.0,10-12,F,LMH,N,MWe,2,4,0
Ligusticum canbyi,Osha,Perennial,1.2,3-6,M,LMH,FS,M,3,0,2
Lonicera japonica,Japanese Honeysuckle,Climber,5.0,4-10,F,LMH,SN,DM,2,3,0
Maytenus obtusifolia,Blunt folia Maytenus,Tree,25.0,10-12,M,LMH,N,DM,2,4,2
Miscanthus x giganteus,Giant Miscanthus,Perennial,4.0,4-9,F,LMH,N,DM,0,0,4
Myrciaria vexator,"Blue Grape, False Jaboticaba",Tree,10.0,10-12,S,LMH,N,M,4,0,0
Myrianthus arboreus,"Giant yellow mulberry, Monkeyfruit",Tree,15.0,10-12,M,LMH,N,MWe,4,3,2
Nabalus albus,White Lettuce,Perennial,1.5,4-8, ,LMH,FS,M,0,2, 
Nabalus serpentarius,Lion's Foot,Perennial,1.5,4-8, ,LMH,FS,M,0,1, 
Nageia nagi,"Nagi, Nagi Podocarpus, Broadleaf Podocarpus",Tree,25.0,9-11,M,LMH,SN,M,1,0, 
Nageia wallichiana,Nageia,Tree,20.0,9-12,M,LMH,FSN,M,0,2,4
Najas flexilis,Nodding waternymph,Annual,0.3,4-8, ,LMH,SN,Wa,2,0, 
Najas graminea,Ricefield waternymph,Annual,0.2,7-10, ,LMH,SN,Wa,1,0, 
Najas marina,Spiny Naiad,Perennial,0.5,-, ,LMH,SN,Wa,1,0, 
Nandina domestica,"Sacred Bamboo, Heavenly Bamboo",Shrub,2.5,6-9,M,LMH,N,M,1,2,0
Nannorrhops ritchiana,Mazari Palm,Tree,5.0,7-10,S,LMH,N,M,1,1, 
Narcissus jonquilla,Jonquil,Bulb,0.3,4-8, ,LMH,SN,M,1,0, 
Narcissus poeticus,Poet's Narcissus,Bulb,0.3,4-8, ,LMH,N,M,0,1, 
Narcissus pseudonarcissus,"Wild Daffodil, Daffodil",Bulb,0.5,4-8, ,LMH,SN,M,0,2, 
Narcissus tazetta,"Bunchflower Daffodil, Cream narcissus",Bulb,0.5,7-10, ,LMH,N,M,0,2, 
Nardostachys grandiflora,Spikenard,Perennial,0.3,-, ,LMH,SN,M,1,3, 
Nasturtium microphyllum,"Watercress, Onerow yellowcress",Perennial,0.5,5-9, ,LMH,N,WeWa,3,1,0
Nasturtium officinale,Watercress,Perennial,0.5,3-11,F,LMH,N,WeWa,4,3,2
Nasturtium x sterile,Brown Watercress,Perennial,0.5,5-9, ,LMH,N,WeWa,4,3, 
Nauclea latifolia,African Peach,Tree,10.0,10-12,M,LMH,N,DM,3,4,2
Navarretia squarrosa,"Skunk Weed, Skunkbush",Annual,0.3,6-9, ,LMH,SN,DM,1,0, 
Neillia thyrsiflora, ,Shrub,3.0,7-10, ,LMH,SN,M,2,0, 
Nelumbo lutea,"American Water Lotus, American lotus",Perennial,1.8,4-8, ,LMH,N,Wa,4,1,0
Nelumbo nucifera,"Sacred Water Lotus, Sacred lotus",Perennial,1.0,4-8, ,LMH,N,Wa,4,3, 
Nemopanthus mucronatus,Mountain Holly,Shrub,3.0,4-8, ,LMH,SN,M,1,1, 
Neobalanocarpus heimii,Chengal,Tree,40.0,10-12,M,LMH,N,M,0,0,4
Neolamarckia cadamba,"Amboina, Kadam",Tree,45.0,10-12,F,LMH,SN,MWe,1,2,4
Neolitsea sericea, ,Tree,6.0,8-11, ,LMH,SN,M,1,0, 
Neomyrtus pedunculata, ,Shrub,6.0,-, ,LMH,SN,M,1,0, 
Nepeta cataria,"Catmint, Catnip",Perennial,1.0,3-7, ,LM,N,DM,3,2,0
Nepeta raphanorrhiza, ,Perennial,0.5,4-8, ,LMH,N,DM,2,0, 
Nepeta tenuifolia,Jing Jie,Annual,0.3,-, ,LMH,SN,M,0,2, 
Nepeta tenuifolia japonica, ,Perennial,0.3,-, ,LMH,N,DM,2,0, 
Nephelium lappaceum,"Rambutan, Hairy Lychee",Tree,20.0,10-12,F,MH,SN,M,5,2,3
Nephelium ramboutan-ake,Pulasan,Tree,15.0,10-12,F,LMH,SN,M,4,1,2
Nerium oleander,"Oleander, Rose Bay",Shrub,4.0,9-11,F,MH,N,DM,0,2, 
Nertera balfouriana, ,Perennial,0.1,8-11, ,LM,S,M,1,0, 
Nertera ciliata, ,Perennial,0.1,8-11, ,LM,S,M,1,0, 
Nertera cunninghamii, ,Perennial,0.1,8-11, ,LM,S,M,1,0, 
Nertera granadensis,Bead Plant,Perennial,0.0,8-11, ,LM,S,M,1,0, 
Newtonia buchananii,"East African Newtonia, Forest Newtonia",Tree,25.0,10-12,F,LMH,N,M,0,2,3
Nicandra physaloides,Shoo Fly,Annual,1.2,7-10,F,LMH,N,M,1,2, 
Nicotiana alata,"Tobacco, Jasmine tobacco, Nicotiana, Jasmine Tobacco, Ornamental Tobacco, Flowering Tobacco",Perennial,0.6,6-9,S,LMH,N,M,0,0, 
1 2,1,2,,,,,,,,,
Nicotiana glauca,Tree Tobacco,Shrub,3.0,7-10, ,LMH,N,M,1,2,0
Nicotiana rustica,"Wild Tobacco, Aztec tobacco",Annual,1.5,7-10, ,LMH,N,M,0,2, 
Nicotiana tabacum,"Tobacco, Cultivated tobacco",Annual,1.2,7-10, ,LMH,N,M,2,2, 
Nigella arvensis,Wild Fennel,Annual,0.3,-, ,LMH,N,DM,2,0, 
Nigella damascena,"Love-In-A-Mist, Devil in the bush",Annual,0.6,0-0,F,LMH,N,DM,3,1, 
Nigella orientalis,Yellow Fennel Flower,Annual,0.3,-, ,LMH,N,DM,2,0, 
Nigella sativa,Black Cumin,Annual,0.4,-, ,LMH,N,DM,3,3, 
Nitraria schoberi, ,Shrub,2.0,-, ,LMH,N,DM,2,0, 
Nopalea cochenillifera,Cochineal plant.,Shrub,5.0,9-11,S,LMH,N,DM,2,2,3
Nothofagus betuloides, ,Tree,20.0,6-9,F,LMH,N,M,0,0, 
Nothofagus cunninghamii,Myrtle Beech,Tree,55.0,8-11,F,LMH,N,M,0,0, 
Nothofagus fusca,Red Beech,Tree,35.0,8-11,F,LMH,N,M,0,0, 
Nothofagus menziesii,Silver Beech,Tree,20.0,8-11,F,LMH,N,M,0,0, 
Nothofagus obliqua,"Roblé, Roble beech",Tree,20.0,6-9,F,LMH,N,M,0,0, 
Nothofagus procera,Rauli,Tree,20.0,6-9,F,LMH,N,M,0,0, 
Nothofagus pumilio,Lenga,Tree,40.0,6-9,M,LMH,N,M,1,0, 
Nothofagus solanderi,Black Beech,Tree,30.0,7-10,F,LMH,N,M,0,0, 
Nothofagus solanderi cliffortioides,Mountain Beech,Tree,30.0,7-10,F,LMH,N,M,0,0, 
Nothoscordum gracile,Slender false garlic,Bulb,0.5,6-9, ,LM,N,DM,2,0, 
Nuphar advena,"Common Spatterdock, Yellow pond-lily, Varigated yellow pond-lily",Perennial,0.0,3-7, ,LMH,SN,Wa,3,2,0
