Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other
Achnatherum hymenoides,"Indian Millet, Indian ricegrass",Perennial,0.6,7-10, ,LMH,N,M,3,0,3
Anacamptis pyramidalis,Pyramidal Orchid,Perennial,0.3,5-9, ,LMH,N,DM,2,1, 
Atriplex truncata,Wedgescale Saltbush,Annual,0.9,7-10, ,LM,N,DM,2,0,4
Cephalostachyum pergracile,Tinwa Bamboo,Bamboo,10.0,10-12,S,LMH,SN,M,3,0,3
Dactylorhiza incarnata,Marsh Orchid,Bulb,0.3,6-9, ,LMH,SN,M,2,2, 
Dactylorhiza maculata,Spotted Orchid,Bulb,0.6,4-8, ,LMH,SN,M,2,2, 
Fraxinus ornus,"Manna Ash, Flowering ash",Tree,9.0,5-6,S,LMH,N,DM,3,3, 
Gymnadenia conopsea,Fragrant Orchid,Bulb,0.3,6-9, ,LMH,SN,M,2,2, 
Ilex integra,Mochi Tree,Tree,6.0,6-9, ,LMH,SN,M,1,0, 
Isodon inflexus, ,Perennial,0.6,-, ,LMH,SN,M,1,0, 
Macromeria viridiflora,"Giant Trumpets, Thurber's giant-trumpets",Perennial,0.9,6-9, ,LMH,N,DM,0,1, 
Matteuccia orientalis, ,Fern,0.6,4-8, ,LMH,S,M,1,0, 
Matteuccia struthiopteris,Ostrich Fern,Fern,1.0,2-7,M,LMH,S,M,2,1,2
Mirabilis nyctaginea,"Wild Four O'clock Plant, Heartleaf four o'clock",Perennial,1.0,7-10, ,LMH,SN,M,0,2,0
Ochlandra spp.,"Elephant grass, Clumping Bamboo",Bamboo,6.0,10-12,F,LMH,SN,M,0,0,4
Ochroma pyramidale,Balsa Wood,Tree,30.0,10-12,F,LMH,N,M,0,2,5
Ocimum basilicum,"Sweet Basil, Common Basil, Thai Basil, Tropical Basil",Perennial,0.5,9-11,F,LM,N,M,4,3, 
Ocimum minimum,Bush Basil,Annual,0.3,9-11, ,LM,N,M,4,3, 
Ocimum tenuiflorum,Sacred Basil,Annual/Perennial,1.0,10-12,F,LMH,N,M,3,4,2
Ocotea cymosa,Varongy,Tree,20.0,10-12,M,LM,FSN,M,2,0,4
