Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other
Abies balsamea,Balsam Fir,Tree,15.0,3-6,S,LMH,FSN,M,3,5, 
Abies concolor,"Colorado Fir, White fir",Tree,45.0,3-7,F,LMH,FSN,DM,0,2, 
Abies fraseri,"She Balsam, Fraser fir, Southern Balsam Fir",Tree,15.0,4-7,F,LMH,FSN,M,1,3,0
Acourtia microcephala,Sacapellote,Perennial,1.4,7-10, ,LM,N,DM,0,1, 
Aesculus californica,"Californian Buckeye, California Horsechestnut",Tree,12.0,6-10,M,LMH,N,DM,3,1, 
Aesculus indica,Indian Horse Chestnut,Tree,30.0,6-9, ,LMH,SN,M,3,1, 
Amelanchier sanguinea,"Roundleaf Serviceberry, Gaspé serviceberry",Shrub,3.0,4-8, ,LMH,SN,DM,3,0, 
Anethum graveolens,Dill,Annual,0.8,2-11,M,LM,N,M,4,3,2
Angelica decursiva, ,Perennial,1.5,-, ,LMH,SN,M,2,2, 
Aronia arbutifolia,Red Chokeberry,Shrub,3.0,4-9, ,LMH,SN,M,2,0, 
Asparagus sauveolens, ,Perennial,1.0,-, ,LMH,SN,M,1,0, 
Asparagus setaceus,"Asparagus Fern, Common asparagus fern, Plumosa Fern",Climber,3.0,9-11,M,LMH,N,M,1,0, 
Asplenium scolopendrium,Hart's Tongue Fern,Fern,0.6,4-8,S,LM,FS,DM,0,2, 
Bauhinia thonningii,"Camel's foot tree, monkey bread",Tree,5.0,10-12,M,LMH,N,DM,3,2,3
Calamus caesius,Rotan Sega,Climber,100.0,10-12,F,LMH,SN,M,2,0,4
Calamus ovoideus,Egg-shaped Rattan. Rotan Ovoid,Climber,70.0,10-12,F,LMH,SN,M,2,0,4
Calamus radiatus,Rotan Rays. Radial Leaf Rotan,Climber,50.0,11-12,F,LMH,SN,M,0,0,4
Chimaphila umbellata,Pipsissewa,Shrub,0.4,4-8,S,LMH,FS,M,2,3,2
Cleome lutea,"Yellow Spiderflower, Jones spiderflower",Annual,1.2,0-0, ,LM,N,DM,2,1, 
Cymopterus bulbosus,Bulbous Springparsley,Perennial,0.0,-, ,LMH,SN,DM,1,1, 
Cymopterus montanus,Mountain Spring Parsley,Perennial,0.2,-, ,LMH,N,DM,2,0, 
Cynanchum paniculatum, ,Perennial Climber,1.0,-, ,LMH,SN,M,1,2, 
Dacrycarpus dacrydioides,Kahikatea,Tree,6.0,8-11,S,LMH,S,M,2,0, 
Dalea candida,White Prairie Clover,Perennial,0.7,-, ,LM,N,DM,3,1, 
Dalea candida oligophylla,White Prairie Clover,Perennial,0.7,-, ,LM,N,DM,3,1, 
Dalea gattingeri,Purpletassels,Perennial,0.4,0-0, ,LM,N,DM,2,0, 
Dalea purpurea,Purple Prairie Clover,Perennial,0.9,-, ,LM,N,DM,2,1, 
Daniellia oliveri,African Copaiba Balsam Tree,Tree,25.0,10-12,F,LMH,N,M,2,2,3
Darmera peltata,"Umbrella Plant, Indian rhubarb, Indian Rubarb, Indian Rubarb",Perennial,1.2,5-8,M,LMH,SN,WeWa,2,0,3
Digitaria sanguinalis,"Crab Grass, Hairy crabgrass",Annual,0.5,6-9,F,LM,N,M,2,1,2
Docynia delavayi, ,Tree,10.0,7-10, ,LMH,N,M,2,0, 
Dryopteris sieboldii, ,Fern,0.5,7-10, ,LMH,S,M,1,0, 
Echinochloa crus-galli,"Barnyard Millet, Barnyardgrass,",Annual,1.2,5-9, ,LMH,N,M,3,2,0
Echinochloa frumentacea,"Japanese Millet, Billion-dollar grass",Annual,1.8,0-0, ,LMH,N,M,3,1, 
Epigaea asiatica, ,Shrub,0.1,4-8, ,LM,FS,M,1,0, 
Fagopyrum tataricum,Tartarian Buckwheat,Annual,0.8,0-0, ,LMH,N,DM,3,1,0
Garcinia gardneriana,"Bacupari, achacha",Tree,8.0,10-12,S,LMH,SN,M,4,0,2
Gaultheria insana, ,Shrub,0.5,5-9, ,LMH,SN,M,1,1, 
Gaultheria myrsinoides, ,Shrub,0.2,8-11, ,LM,SN,M,2,0, 
Gaultheria rigida, ,Shrub,0.0,-, ,LM,FS,M,1,0, 
Gillenia stipulata,"American Ipecacuanna, American ipecac",Perennial,1.2,4-8, ,LMH,S,M,0,3, 
Gillenia trifoliata,"Indian Physic, Bowman's root",Perennial,1.2,4-9,M,LMH,SN,M,0,3, 
