Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other
Camassia cusickii,Cussick's camas,Bulb,0.9,3-11,M,LM,SN,M,2,0,3
Castanopsis cuspidata,Japanese Chinquapin,Tree,25.0,6-9, ,MH,S,M,2,0, 
Quararibea cordata,"South American Sapote, Chupa Chupa, Matisia",Tree,20.0,10-12,F,MH,N,M,4,3,0
Quassia amara,"Bitterwood, Amargo Bark",Shrub,5.0,10-12,S,MH,SN,M,2,4,2
Quercus × schuettei,Schuette's oak,Tree,18.0,4-8,F,MH,N,MWe,3,0,3
Quercus acuta,Japanese Evergreen Oak,Tree,25.0,6-9,M,MH,SN,M,2,2, 
Quercus acutissima,Sawthorn Oak,Tree,5.0,5-9,M,MH,SN,M,2,2,3
Quercus agrifolia,"Encina, California live oak, Coast Live Oak",Tree,15.0,8-11,S,MH,SN,M,3,2, 
Quercus alba,"White Oak, Hybrid oak",Tree,20.0,3-9,S,MH,SN,DM,3,2,4
Quercus aliena,Oriental White Oak,Tree,20.0,4-8, ,MH,SN,M,2,2, 
Quercus aucheri,Boz-Pirnal Oak,Shrub,5.0,7-10,S,MH,SN,DM,4,2,1
Quercus bicolor,Swamp White Oak,Tree,25.0,4-8,M,MH,SN,MWe,4,2,3
Quercus brantii,"Barro, Brant's oak",Tree,8.0,7-9,F,LMH,N,DM,3,2,3
Quercus cerris,"Turkey Oak, European turkey oak",Tree,35.0,5-9,F,MH,SN,M,3,2, 
Quercus chrysolepis,"Live Oak, Canyon live oak",Tree,25.0,8-11,S,MH,SN,M,2,2, 
Quercus coccifera,Kermes Oak,Shrub,4.0,5-9, ,MH,SN,M,3,2,3
Quercus coccinea,Scarlet Oak,Tree,25.0,4-8,M,MH,SN,M,2,2, 
Quercus dentata,"Japanese Emperor Oak, Daimyo oak",Tree,20.0,4-8,F,MH,SN,M,2,2, 
Quercus douglasii,Blue Oak,Tree,12.0,8-11,S,MH,SN,DM,3,2,4
Quercus durata,"California Scrub Oak, Leather oak",Shrub,4.0,7-10, ,MH,SN,M,2,2, 
Quercus ellipsoidalis,Northern Pin Oak,Tree,20.0,4-6,M,MH,SN,M,2,2, 
Quercus emoryi,"Black Oak, Emory oak",Tree,12.0,6-9,S,MH,SN,M,3,2, 
