Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other
Acacia auriculiformis,"Ear-Pod Wattle, Black Acacia, Earleaf, Black wattle",Tree,25.0,10-12,F,LMH,N,DM,1,0,4
Akebia quinata,"Akebia, Chocolate vine, Fiveleaf Akebia, Chocolate Vine",Climber,12.0,4-8,F,LMH,FSN,M,4,2,2
Annona mucosa,Wild Sweetsop,Tree,12.0,10-12,F,LMH,N,M,5,1,2
Berchemia lineata, ,Climber,4.0,7-10, ,LM,SN,M,2,1, 
Boenninghausenia albiflora, ,Shrub,1.0,7-10, ,LM,N,M,0,2, 
Caragana jubata,Shag-Spine,Shrub,1.0,3-7, ,LM,N,DM,0,1, 
Ceanothus cuneatus,"Buckbrush, Sedgeleaf buckbrush, Monterey ceanothus",Shrub,1.8,6-9,F,LM,SN,DM,2,1, 
Cotinus coggygria,"Smoke Tree, European smoketree, Venetian Sumac, Wig Tree, Smoke Tree",Shrub,5.0,5-8,M,LMH,SN,DM,1,1, 
Dioscoreophyllum cumminsii,"Serendipity Berry, Guinea potato",Climber,1.8,10-12,M,LMH,FS,M,4,0,0
Garcinia brasiliensis,Bacupari,Tree,6.0,10-12,S,LMH,SN,M,4,2,2
Garcinia madruno,"Madruno, Charichuela, Madrono",Tree,10.0,10-12,M,LM,SN,M,4,2,2
Lesquerella hybrids,Perennial Lesquerella,Perennial,0.6,7-11,F,LM,SN,DM,2,0,4
Marsippospermum grandiflorum, ,Perennial,0.3,-, ,LM,SN,MWe,0,0, 
Nasturtium officinale,Watercress,Perennial,0.5,3-11,F,LMH,N,WeWa,4,3,2
Oxyria digyna,"Mountain Sorrel, Alpine mountainsorrel",Perennial,0.5,2-8, ,LMH,SN,M,3,1,0
Polygonum sachalinense,Giant Knotweed,Perennial,3.6,4-8,F,LMH,SN,M,2,0,0
Ranunculus acris,"Meadow Buttercup, Tall buttercup, Showy buttercup",Perennial,1.0,0-0, ,LMH,SN,MWe,1,2,0
Ranunculus aquatilis,"Water Crowfoot, White water crowfoot",Annual/Perennial,0.0,4-8, ,LMH,SN,MWeWa,1,1, 
Ranunculus arvensis,Corn Buttercup,Annual,0.5,0-0, ,LMH,SN,M,0,1,0
Ranunculus bulbosus,"Bulbous Buttercup, St. Anthony's turnip",Perennial,0.3,0-0,F,LMH,SN,M,1,2,0
Ranunculus californicus,California Buttercup,Perennial,0.6,6-9, ,LMH,SN,M,1,0, 
Ranunculus chinensis,Hui Hui Suan,Perennial,0.6,-, ,LMH,SN,MWe,1,0, 
Ranunculus ficaria,"Lesser Celandine - Pilewort, Fig buttercup",Perennial,0.2,0-0,F,LMH,SN,M,1,2,0
Ranunculus flammula,"Lesser Spearwort, Greater creeping spearwort",Perennial,0.6,4-8, ,LMH,SN,MWeWa,0,1, 
Ranunculus hirtus, ,Perennial,0.0,-, ,LMH,SN,M,0,1, 
Ranunculus inamoeus,Graceful Buttercup,Perennial,0.3,-, ,LMH,SN,M,1,0, 
Ranunculus japonicus,Mao Gen,Perennial,0.1,-, ,LMH,SN,M,1,1, 
Ranunculus kochii, ,Perennial,0.1,5-9, ,LMH,N,M,1,0, 
Ranunculus muricatus,"Rough-Seed Buttercup, Spinyfruit buttercup",Annual,0.3,0-0, ,LMH,SN,M,0,1, 
Ranunculus nipponicus, ,Perennial,0.0,-, ,LMH,SN,WeWa,1,0, 
Ranunculus occidentalis,Western Buttercup,Perennial,0.6,-, ,LMH,SN,M,1,0, 
Ranunculus pallasii,"Buttercup, Pallas' buttercup",Perennial,0.1,0-0, ,LMH,SN,MWe,1,0, 
Ranunculus pennsylvanicus,Pennsylvania Buttercup,Annual/Perennial,1.0,-, ,LMH,SN,MWe,1,1, 
Ranunculus quelpaertensis, ,Perennial,0.6,-, ,LMH,SN,MWe,1,0, 
Ranunculus repens,"Creeping Buttercup, Prairie Double-flowered Buttercup, Water Buttercup, Creeping Buttercup",Perennial,0.3,3-8,F,LMH,SN,M,1,1,0
Ranunculus reptans,Creeping Spearwort,Perennial,0.2,-,F,LMH,SN,MWe,1,0, 
Ranunculus rivularis, ,Perennial,0.0,-, ,LMH,SN,M,0,1, 
Ranunculus sceleratus,"Celery-Leaved Buttercup, Cursed buttercup",Perennial,0.6,0-0, ,LMH,SN,MWeWa,1,1, 
Ranunculus tachreoi, ,Perennial,1.0,-, ,LMH,SN,M,1,0, 
Ranunculus ternatus, ,Perennial,0.3,-, ,LMH,SN,M,0,1, 
Raphanus landra,Radish,Annual,0.8,-, ,LMH,SN,M,2,0, 
Raphanus maritima,Sea Radish,Biennial,0.8,-, ,LMH,SN,M,2,0, 
Raphanus raphanistrum,Wild Radish,Annual,1.2,0-0, ,LMH,SN,M,2,1,0
Raphanus sativus,"Radish, Cultivated radish",Annual,0.5,2-11,F,LMH,SN,M,4,3,0
Raphanus sativus caudatus,Rat-Tail Radish,Annual,0.0,7-10, ,LMH,SN,M,3,3, 
Raphanus sativus niger,Oriental Radish,Annual,0.5,2-11,F,LMH,SN,M,4,3,3
Raphanus sativus oleiformis,Fodder Radish,Annual,0.5,-,F,LMH,SN,M,3,3, 
Raphia farinifera,Raffia Palm,Tree,25.0,9-12,F,LMH,N,MWe,3,0,3
Raphia hookeri,Ivory Coast Raffia Palm,Tree,10.0,10-12,F,LMH,N,MWe,3,2,4
Raphia palma-pinus,Thatch palm,Tree,10.0,10-12,F,LMH,SN,MWe,0,2,4
Raphia vinifera,Wine Raffia Palm. Wine Palm,Tree,6.0,10-12,M,LMH,N,M,3,0,3
Ratibida columnifera,"Prairie Coneflower, Upright prairie coneflower, Woolly Cinquefoil, Praire Coneflower, Mexican Hat",Perennial,0.8,4-9,F,LMH,N,DM,1,1, 
Rauvolfia serpentina,"Rauwolfia, Ajmaline, Java devil-pepper",Shrub,1.5,10-12,M,LMH,SN,M,0,4,0
Reaumuria hypericoides, ,Shrub,0.5,-, ,LMH,SN,M,0,1, 
Rehmannia glutinosa,Chinese Foxglove - Di Huang,Perennial,0.3,8-11, ,LM,SN,M,1,3, 
Reichardia picroides,"French Scorzonera, Common brighteyes",Perennial,0.5,7-10, ,LMH,SN,M,5,0, 
Reineckia carnea, ,Perennial,0.1,6-9, ,LMH,FS,M,0,1, 
Reseda lutea,"Wild Mignonette, Yellow mignonette",Biennial/Perennial,0.8,0-0, ,LMH,SN,M,1,0, 
Reseda luteola,"Weld, Dyer's Rocket",Biennial,1.5,5-9, ,LMH,N,M,0,1,3
Reseda odorata,"Mignonette, Garden mignonette",Annual/Perennial,0.5,0-0, ,LMH,SN,M,0,1, 
Reseda phyteuma,Rampion mignonette,Annual/Biennial,0.3,0-0, ,LMH,SN,M,1,0, 
Reutealis trisperma,"Otaheite Walnut, Lumbang Tree",Tree,12.0,9-12,F,LMH,N,M,0,2,4
Reynoutria japonica,Japanese knotweed.,Perennial,2.0,4-8,F,LMH,SN,M,3,3,3
Rhagodia candolleana,Coastal Saltbush,Shrub,2.0,-, ,LMH,SN,M,0,0, 
Rhagodia nutans,Climbing Saltbush,Perennial,0.2,8-11, ,LMH,N,M,2,0, 
Rhagodia parabolica,Mealy Saltbush,Shrub,3.0,8-11, ,LMH,N,M,1,0, 
Rhagodia spinescens,Spiny Saltbush,Shrub,0.5,8-11, ,LMH,N,M,2,0, 
