Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other
Abutilon vitifolium, ,Shrub,8.0,7-10, ,LMH,SN,M,3,0, 
Artemisia maritima,Sea Wormwood,Shrub,0.6,6-9, ,LM,N,DM,1,2, 
Artemisia tridentata,"Sage Brush, Big sagebrush, Bonneville big sagebrush",Shrub,2.5,4-10, ,LM,N,DM,3,2,5
Arthrocnemum fruticosum,Glasswort,Perennial,0.6,-, ,LM,SN,M,1,0, 
Artocarpus mariannensis,"Seeded breadfruit, Marianas bread",Tree,15.0,10-12,F,LM,SN,M,4,3,4
Berula erecta,Cutleaf Waterparsnip,Perennial,1.0,3-7, ,LMH,SN,MWe,1,1, 
Brachyglottis Dunedin Hybrids, ,Shrub,1.5,7-10,S,LMH,N,M,0,0, 
Brachyglottis greyi, ,Shrub,2.0,7-10,S,LMH,N,M,0,0, 
Brachyglottis laxifolia, ,Shrub,2.0,7-10,S,LMH,N,M,0,0, 
Brachyglottis monroi, ,Shrub,1.5,7-10,S,LMH,N,M,0,0, 
Brachyglottis rotundifolia, ,Shrub,6.0,8-11, ,LMH,N,M,0,0, 
Brassica nigra,Black Mustard,Annual,1.2,6-9, ,LM,SN,M,3,3,2
Bumelia lycioides,Shittamwood,Tree,8.0,6-9, ,LMH,N,M,2,0, 
Calamintha nepeta,Lesser Calamint,Perennial,0.6,5-9, ,LM,N,DM,3,2,2
Calopogonium caeruleum,Wild jicama,Climber,5.0,10-12,F,LMH,FSN,M,0,0,2
Cephalaria syriaca,"Makhobeli, Syrian cephalaria",Annual,0.0,0-0, ,LMH,N,M,2,0, 
Chamaesaracha coronopus,Greenleaf Five Eyes,Perennial,0.2,-, ,LMH,SN,M,1,1, 
Clintonia borealis,Bluebeard,Perennial,0.3,3-7, ,LM,FS,M,2,1,2
Cola acuminata,"Cola Nut, Kola, Bissy Nut",Tree,20.0,10-12,M,LMH,N,M,3,4,2
Cornus alternifolia,"Green Osier, Alternateleaf dogwood, Alternate Leaf Dogwood, Golden Shadows Pagoda Dogwood, Green Osi",Shrub,6.0,3-8,F,LMH,N,DM,0,2, 
