Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other
Athamantha sicula, ,Perennial,0.0,-, ,LM,N,M,2,0, 
Camellia japonica,"Camellia, Common Camellia, Japanese Camellia",Shrub,10.0,7-9,S,LM,FSN,M,3,2,2
Camellia sasanqua,"Camellia, Sasanqua camellia",Shrub,3.0,7-9,S,LM,SN,M,3,1,4
Capsella bursa-pastoris,Shepherd's Purse,Annual,0.3,6-10, ,LMH,SN,DM,3,2,2
Cephalotaxus harringtonia,Japanese Plum Yew,Shrub,5.0,6-9,S,LMH,FS,M,5,0,3
Chamaecytisus proliferus,Tagasaste. Tree lucerne.,Shrub,4.0,8-12,F,LM,N,DM,0,0,4
Cornus iberica, ,Shrub,4.0,-, ,LMH,SN,M,2,0, 
Crocosmia aurea,Montbretia,Corm,1.0,6-9,F,LM,SN,M,1,0, 
Cynara scolymus,Globe Artichoke,Perennial,1.5,5-9, ,LMH,N,M,3,5,2
Drimys insipida,Brush Pepperbush,Shrub,6.0,-, ,LMH,SN,M,0,0, 
Euodia daniellii, ,Tree,15.0,9-11, ,LMH,SN,M,2,1, 
Euodia fraxinifolia, ,Tree,15.0,9-11, ,LMH,SN,M,2,1, 
Euphorbia intisy,"Intisy, Pencil Plant",Shrub,5.0,10-12,F,LM,SN,D,0,0,3
Gnetum africanum,"Eru, African Jointfir",Climber,12.0,10-12,F,LMH,SN,M,4,2,2
Gnetum buchholzianum,Jointfir,Climber,10.0,10-12,F,LMH,FSN,M,4,2,2
Handroanthus guayacan,Guayacan,Tree,40.0,10-12,M,LMH,N,M,0,0,4
Hydnocarpus kurzii,Chaulmugra,Tree,15.0,10-12,M,LMH,SN,M,0,4,0
Hymenaea verrucosa,East African Copal. Zanzibar copal tree,Tree,15.0,10-12,S,MH,N,DM,0,0,2
Hyssopus officinalis,Hyssop,Shrub,0.6,5-10,M,LM,N,DM,2,3,5
Kinugasa japonica,Kinugasaso,Perennial,0.5,7-10, ,LMH,SN,M,1,0, 
Liriodendron tulipifera,"Tulip Tree, Tulip Poplar, Yellow Poplar, Canary Whitewood",Tree,30.0,4-9,M,LMH,N,M,1,2, 
Lotus tetragonolobus,"Asparagus Pea, Winged pea",Annual,0.3,0-0, ,LMH,N,DM,3,0, 
Macadamia hildebrandii,Celebes nut,Tree,14.0,10-12,M,LMH,N,MWe,4,0,3
Octomeles sumatrana,Ilimo Tree,Tree,50.0,10-12,F,MH,N,M,2,2,4
Pachycereus hollianus,"Baboso, Acompes",Perennial,4.0,9-11,M,LM,N,DM,0,0,3
Pachyphragma macrophylla, ,Perennial,0.3,6-9, ,LMH,FS,DM,1,0, 
Parinari curatellifolia,"Mbola, Grys Appel",Tree,15.0,10-12,S,MH,N,MWe,4,2,3
Passiflora mollisima,Banana Passion Fruit,Climber,5.0,5-9,F,LMH,N,M,3,0, 
Petasites albus,Butterbur,Perennial,0.6,4-8,F,LMH,FSN,M,2,1, 
Pittosporum resiniferum,Petroleum nut,Tree,25.0,10-12,M,LMH,N,M,0,3,4
Potentilla erecta,"Tormentil, Erect cinquefoil",Perennial,0.3,4-8, ,LMH,SN,M,1,3, 
Prunus armeniaca mandschurica,Manchurian apricot,Tree,6.0,3-9,M,LM,SN,M,4,3,3
Rhus diversiloba,"Western Poison Oak, Pacific poison oak",Shrub,2.5,4-8, ,LMH,N,M,0,2, 
Rhus succedanea,Wax Tree,Tree,9.0,4-9, ,LMH,N,M,1,2,4
Santalum austrocaledonicum,Pacific Sandalwood,Tree,10.0,10-12,S,LM,N,DM,0,1,4
Santalum yasi,"Yasi, Fijian Sandalwood, Brown Sandalwood",Tree,10.0,9-12,S,LM,N,DM,0,2,4
Sapium sebiferum,"Vegetable Tallow, Chinese tallow, Popcorn Tree, Chinese Tallow Tree",Tree,9.0,8-11,F,LMH,N,M,2,2,4
Sequoia sempervirens,"Coastal Redwood, Redwood, California Redwood, Coast Redwood",Tree,110.0,7-10,F,LMH,SN,M,0,1,4
Shorea obtusa,"Taengwood Balau, teng",Tree,20.0,10-12,M,LM,N,DM,0,2,4
Shorea quadrinervis,Light Red Meranti,Tree,30.0,10-12,M,LMH,N,DM,0,0,4
Silphium integrifolium,Prairie Rosinweed,Perennial,1.8,4-8,F,LMH,N,DM,3,1,2
Swartzia grandifolia,"Big leafed Swartzia, Coracao-de-Negro",Tree,15.0,10-12,M,LMH,N,M,0,0,4
Tabebuia rosea,"Apamate, Pink Poui, Pink Tecoma, Rosy Trumpet Tree",Tree,20.0,10-12,M,LMH,N,DM,0,2,4
Tabernaemontana hystrix,Tabernaemontana,Tree,5.0,10-12,F,LMH,N,M,0,0,4
Tabernanthe iboga,Iboga,Shrub,1.5,10-12,F,LMH,SN,MWe,0,4,0
Tacca leontopetaloides,"Polynesian Arrowroot, Pia",Perennial,1.0,8-12,F,LMH,SN,M,4,2,3
Tachia guianensis,Tachia,Shrub,3.0,10-12,M,LMH,N,M,0,4,0
Tachigali rubiginosa,Tachigali,Tree,7.5,10-12,F,LMH,N,M,0,0,4
Taenidia integerrima,Yellow pimpernel,Perennial,0.6,4-6,F,LM,SN,DM,0,1,2
Tagetes erecta,"African Marigold, Aztec marigold, Big Marigold, American Marigold",Annual,1.0,2-11,M,LMH,N,DM,3,3,3
Tagetes filifolia,Irish Lace,Annual,0.4,8-11, ,LMH,N,DM,1,0, 
Tagetes lucida,"Mexican Tarragon, Sweetscented marigold",Perennial,0.8,8-11, ,LMH,N,DM,4,3, 
Tagetes micrantha,Licorice marigold,Annual,0.3,7-9, ,LMH,N,DM,0,1,1
Tagetes minuta,Muster-John-Henry,Annual,1.2,8-11, ,LMH,N,DM,2,2,0
Tagetes patula,"French Marigold, Dwarf French Marigold",Annual,0.5,2-11,M,LMH,N,DM,2,2,4
Tagetes tenuifolia,"Lemon Marigold, Striped Mexican Marigold, Signet Marigold",Annual,0.8,2-11,M,LMH,N,DM,2,0,3
Talinum aurantiacum,Orange Flameflower,Perennial,0.4,-, ,LMH,SN,M,1,0, 
Talipariti elatum,Blue Mahoe,Tree,25.0,10-12,F,LMH,N,DM,0,2,4
Talipariti tiliaceum,"Beach Hibiscus, Sea Hibiscus, Cottontree, Mahoe",Tree,10.0,10-12,F,LMH,N,MWe,3,2,4
Talisia esculenta,Pitomba,Tree,10.0,10-12,F,LMH,N,M,4,2,2
Tamarindus indica,Tamarind,Tree,20.0,10-12,S,LMH,N,DM,4,3,3
