Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other
Chasmanthium latifolium,"Indian Woodoats, Wild Oats Grass, North American Wild Oats, Northern Sea Oats, Spanglegrass River Oa",Perennial,1.0,4-10,M,LM,SN,M,1,0, 
Disporum sessile,Japanese Fairy Bells,Perennial,0.6,4-8,F,LMH,S,M,1,0, 
Disporum viridescens, ,Perennial,0.6,-, ,LMH,FS,M,1,0, 
Distichlis palmeri,"Nipa. Palmer saltgrass, NyPa Wild Wheat",Perennial,0.4,10-12,F,LMH,SN,MWeWa,4,0,2
Laportea canadensis,Canadian Wood Nettle,Perennial,1.0,0-0, ,LMH,SN,M,3,1,2
Oreocnide integrifolia,Wild Rhea,Tree,12.0,10-12,S,LMH,FS,MWe,0,0,4
Oxandra laurifolia,"Yaya, lancewood",Tree,10.0,10-12,M,LMH,N,M,0,0,4
Panicum maximum,Guinea grass. Green panic grass,Perennial,2.0,10-12,F,LM,FSN,DM,1,2,2
Uapaca kirkiana,Wild Loquat,Tree,12.0,10-12,M,LM,SN,M,4,2,3
Ugni molinae,"Uñi, Chilean guava",Shrub,2.0,7-11,M,LMH,N,DM,5,0,3
Ulex europaeus,"Gorse, Common gorse",Shrub,1.5,5-9,F,LMH,N,DM,1,1,5
Ulex parviflorus, ,Shrub,1.5,6-9,F,LMH,N,DM,0,0, 
Ullucus tuberosus,Olluco,Perennial,0.3,8-10, ,LM,N,M,3,0,0
Ulmus alata,Winged Elm,Tree,15.0,6-9,F,LMH,SN,M,2,0, 
Ulmus americana,"American Elm, Gray Elm, Water Elm",Tree,25.0,3-9,M,LMH,SN,M,2,2, 
Ulmus davidiana,Japanese Elm,Tree,15.0,4-8, ,LMH,SN,M,2,0, 
Ulmus glabra,"Wych Elm, Table-top Scotch Elm, Scotch Elm",Tree,30.0,5-7,F,LMH,SN,M,3,2, 
Ulmus japonica,Japanese Elm,Tree,35.0,4-8, ,LMH,SN,M,2,1, 
Ulmus laciniata, ,Tree,10.0,4-8, ,LMH,SN,M,2,0, 
Ulmus macrocarpa, ,Tree,10.0,4-8, ,LMH,SN,DM,2,1, 
Ulmus parvifolia,"Chinese Elm, Lacebark Elm",Tree,18.0,5-10,M,LMH,SN,M,2,1,0
Ulmus procera,English Elm,Tree,35.0,5-9,F,LMH,SN,M,3,2, 
Ulmus pumila,"Siberian Elm, Hybrid elm",Tree,15.0,4-9,F,LMH,SN,DM,2,2,0
Ulmus rubra,Slippery Elm,Tree,20.0,3-7,M,LMH,SN,M,2,5,3
Ulmus thomasii,Rock Elm,Tree,30.0,-,S,LMH,SN,M,1,0, 
Ulmus villosa,Cherry Bark Elm,Tree,25.0,4-8, ,LMH,SN,M,1,0, 
Ulmus wallichiana, ,Tree,35.0,5-9, ,LMH,SN,M,1,1, 
Umbellularia californica,"California Laurel, California Bay",Tree,25.0,7-10,M,LMH,N,M,4,2, 
Umbilicus rupestris,Pennywort,Perennial,0.3,6-9, ,LM,SN,M,3,1, 
Uncaria guianensis,Cat's Claw,Climber,30.0,10-12,F,LM,N,M,2,4,2
Uncaria rhynchophylla, ,Climber,0.0,-, ,LMH,SN,M,0,2, 
Uncaria tomentosa,Cat's Claw,Climber,25.0,10-12,F,LM,SN,M,2,4,2
Uniola paniculata,"Sea Oats, Sea Oats Grass",Perennial,2.5,7-11,M,LM,SN,M,2,0, 
Urceola micrantha, ,Climber,50.0,-, ,LMH,SN,M,0,2, 
Urera baccifera,"Nettle Tree, Chichaste, Ortiga",Shrub,4.0,10-12,F,LMH,SN,MWe,0,2,4
Urginea maritima,"Sea Squill, Red squill",Bulb,1.0,8-11, ,LM,N,DM,0,3, 
Urochloa mosambicensis,"Sabi grass, Gonya grass, Bushveld signal grass",Perennial,1.2,10-12,F,LMH,SN,M,2,0,2
Urospermum dalechampii, ,Perennial,0.5,5-9, ,LMH,SN,M,1,0, 
Urtica angustifolia, ,Perennial,1.5,-, ,LMH,SN,M,3,0, 
Urtica breweri,Stinging nettle,Perennial,1.0,0-0, ,LMH,SN,M,3,2, 
Urtica californica,"Stinging Nettle, California nettle",Perennial,1.8,3-10, ,LMH,SN,M,2,2,4
Urtica cannabina, ,Perennial,1.5,-,M,LMH,SN,M,3,0, 
Urtica dioica,"Stinging Nettle, California nettle",Perennial,1.2,3-10,F,LMH,SN,M,5,5,4
Urtica gracilis,Stinging Nettle,Perennial,1.5,-, ,LMH,SN,M,3,3, 
Urtica holosericea,Stinging Nettle,Perennial,2.5,-, ,LMH,SN,M,3,2, 
Urtica hyperborea, ,Perennial,0.3,-, ,LMH,N,M,3,0, 
Urtica incisa,Scrub Nettle,Perennial,1.8,-, ,LMH,SN,M,3,0, 
Urtica laetevirens, ,Perennial,1.0,-, ,LMH,SN,M,3,0, 
Urtica lyallii,Stinging Nettle,Perennial,1.2,-, ,LMH,SN,M,3,3, 
Urtica parviflora, ,Perennial,0.5,-, ,LMH,SN,M,3,1, 
Urtica pilulifera,Roman Nettle,Annual,0.6,-, ,LMH,N,M,3,3, 
Urtica platyphylla, ,Perennial,1.8,-, ,LMH,SN,M,3,0, 
Urtica procera,"Stinging Nettle, California nettle",Perennial,1.5,0-0, ,LMH,SN,M,3,2, 
Urtica serra,California nettle,Perennial,1.5,0-0, ,LMH,SN,M,3,2, 
Urtica thunbergiana, ,Perennial,0.8,-, ,LMH,SN,M,3,0, 
Urtica urens,Annual Nettle,Annual,0.6,-, ,LMH,N,M,3,3, 
Utricularia vulgaris,Bladderwort,Perennial,0.0,4-8, ,LMH,N,Wa,1,1, 
Uvularia grandiflora,"Fairybells, Merry Bells, Bellwort, Largeflower bellwort",Perennial,0.3,4-9,M,LM,FS,M,0,3, 
Uvularia perfoliata,"Bellwort, Perfoliate bellwort",Perennial,0.4,4-8, ,LM,FS,M,2,2, 
Uvularia sessilifolia,"Bellwort, Sessileleaf bellwort",Perennial,0.3,4-8,F,LM,FS,M,2,1, 
