Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other
Lonicera involucrata,"Twinberry, Twinberry honeysuckle",Shrub,1.2,4-8,M,LMH,N,M,2,2, 
x Sorbaronia hybrid,Aronia x mountain ash,Tree,3.0,3-8,M,LMH,N,M,3,0,2
x Sorbo­crataegus hybrid,Haw x mountain ash,Tree,3.0,3-8,M,LMH,N,M,5,0,2
x Sorbopyrus hybrid,Pear x mountain ash,Tree,4.0,3-8,M,LMH,N,M,4,0,2
Xanthium commune,Canada cocklebur,Annual,1.5,0-0, ,LMH,N,M,1,0, 
Xanthium spinosum,Spiny Cocklebur,Annual,0.5,6-9, ,LMH,N,M,0,1,0
Xanthium strumarium,"Cocklebur, Rough cocklebur, Canada cocklebur",Annual,0.8,6-9, ,LMH,N,DM,1,3,0
Xanthoceras sorbifolium,Yellowhorn,Shrub,6.0,4-7,S,LMH,N,DM,3,0, 
Xanthorhiza simplicissima,Yellowroot,Shrub,1.0,5-9,F,LMH,FSN,MWe,0,2, 
Xanthorrhoea australis,Grasstree,Perennial,1.0,-, ,LM,N,M,2,1, 
Xanthostemon verdugonianus,Mangkono,Tree,30.0,10-12,S,LMH,N,M,0,0,4
Xanthostemon verus,Iron Wood,Tree,10.0,10-12,M,LMH,N,M,0,0,4
Xerophyllum tenax,"Indian Basket Grass, Common beargrass",Perennial,1.2,4-8,S,LM,SN,M,1,1, 
Xylosma japonica, ,Tree,25.0,7-10, ,LMH,SN,DM,1,1, 
Xyris caroliniana,Carolina Yelloweyed Grass,Perennial,1.0,-, ,LMH,SN,MWe,0,1, 
