Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other
Attalea colenda,"Palma real, Chivila",Tree,25.0,10-12,M,LMH,N,M,4,0,3
Youngia chelidoniifolia, ,Annual/Biennial,0.4,-, ,LMH,SN,M,1,0, 
Youngia denticulata, ,Annual/Biennial,0.6,-, ,LM,SN,M,1,1, 
Youngia japonica,"Japanese Hawkweed, Oriental false hawksbeard",Biennial,0.6,0-0, ,LMH,SN,M,1,1, 
Yucca aloifolia,"Spanish Bayonet, Aloe yucca, Dagger Plant, Yucca, Spanish Bayonet",Tree,7.5,8-10,S,LMH,SN,DM,3,1, 
Yucca angustissima,"Narrowleaf yucca, Kanab yucca, Toft's yucca, Yucca",Shrub,0.4,4-9,S,LMH,SN,DM,3,0,4
Yucca baccata,"Spanish Bayonet, Banana yucca, Blue Yucca, Spanish Yucca",Shrub,0.9,6-11,S,LMH,N,DM,4,1,5
Yucca brevifolia,"Joshua Tree, Jaeger's Joshua tree, Yucca, Joshua Tree",Tree,9.0,9-11,M,LMH,SN,DM,3,0, 
Yucca constricta,Buckley's Yucca,Perennial,1.5,8-11, ,LMH,SN,DM,2,0, 
Yucca elata,"Soap Tree, Soaptree yucca, Soapweed, Soapweed Yucca",Shrub,2.0,9-11,S,LMH,SN,DM,2,0, 
Yucca filamentosa,"Spoonleaf Yucca, Adam's needle, Desert Candle, Needle Palm, St. Peter's Palm, Spanish Bayonet, Comm",Shrub,1.2,4-10,M,LMH,SN,DM,3,1,4
Yucca filifera, ,Shrub,10.0,6-9, ,LMH,SN,DM,2,0, 
Yucca gigantea,"Spineless yucca, Izote",Tree,6.0,9-11,F,LMH,SN,DM,3,0,2
Yucca glauca,"Soapweed, Soapweed yucca, Gurney's yucca, American Vetch, Yucca, Narrowleaf Yucca, Soapweed",Shrub,1.5,4-10,S,LMH,SN,DM,2,2,0
Yucca gloriosa,"Spanish Dagger, moundlily yucca, Palm Lily, Roman Candle, Mound Lily Yucca, Spanish Dagger",Shrub,1.8,6-11,S,LM,SN,DM,2,1, 
Yucca harrimaniae,"Spanish Bayonet, New Mexico Spanish bayonet",Shrub,0.4,6-9,S,LMH,SN,DM,2,0, 
Yucca recurvifolia,Curve-leaf yucca,Shrub,2.5,7-10, ,LMH,SN,DM,3,0,2
Yucca rupicola,"Twisted-Leaf Yucca, Texas yucca",Shrub,0.6,8-11, ,LMH,SN,DM,2,0, 
Yucca schidigera,"Mojave Yucca, Yucca",Tree,4.5,9-10, ,LMH,N,DM,3,0, 
Yucca smalliana,"Adam's Needle, Weak-leaf yucca",Shrub,1.2,8-11, ,LMH,SN,DM,2,0, 
Yucca whipplei,Our Lord's Candle,Shrub,2.0,7-11,S,LMH,S,DM,3,0,3
Yushania anceps,Ringal,Bamboo,4.5,8-11, ,LMH,FSN,M,0,0, 
Yushania maculata,Maculata bamboo,Bamboo,5.0,6-10,F,LMH,SN,M,3,0,3
Yushania maling, ,Bamboo,3.0,8-11, ,LMH,FSN,M,0,0, 
