Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other
Abelia triflora,Indian Abelia,Shrub,3.5,5-9,M,LM,SN,DM,0,0,1
Bromus ramosus,Hairy Brome,Perennial,1.5,4-8, ,LMH,SN,DM,0,1, 
Microcycas calocoma,Palma corcho,Perennial,10.0,10-12,S,LMH,FSN,M,0,0,0
Zamia spp,Zamia cycads. Pine cone cycad,Perennial,1.0,10-12,S,LMH,FSN,DMWe,2,0,4
Zannichellia palustris,Horned Pondweed,Perennial,0.5,-, ,LMH,SN,Wa,0,0, 
Zantedeschia aethiopica,"Arum Lily, Calla lily, White Calla Lily",Perennial,1.0,8-10,M,LMH,SN,WeWa,1,0, 
Zanthoxylum ailanthoides, ,Tree,18.0,8-11, ,LMH,SN,M,2,1, 
Zanthoxylum alatum,Winged Prickly Ash,Shrub,4.0,5-9, ,LMH,SN,M,3,2,3
Zanthoxylum americanum,"Prickly Ash - Northern, Common pricklyash, Northern Prickly Ash",Shrub,4.0,3-7,M,LMH,SN,M,2,3,2
Zanthoxylum beecheyanum, ,Shrub,0.8,-, ,LMH,SN,M,2,1, 
Zanthoxylum bungeanum, ,Shrub,6.0,-, ,LMH,SN,M,2,3, 
Zanthoxylum clava-herculis,"Hercules Club. Prickly Ash - Southern, Hercules' club, Southern Prickly Ash",Shrub,3.0,7-11,M,LMH,SN,M,2,3, 
Zanthoxylum coreanum, ,Shrub,0.0,-, ,LMH,SN,M,1,1, 
Zanthoxylum nitidum, ,Climber,0.0,-, ,LMH,SN,M,0,2, 
Zanthoxylum piperitum,Japanese Pepper Tree,Shrub,2.0,5-9, ,LMH,SN,M,3,2,1
Zanthoxylum planispinum,Winged Prickly Ash,Shrub,3.5,5-9, ,LMH,SN,M,3,2, 
Zanthoxylum schinifolium,Peppertree,Shrub,4.0,5-9, ,LMH,SN,M,2,2,0
Zanthoxylum simulans,"Szechuan Pepper, Chinese-pepper, Prickly Ash",Shrub,4.0,5-8,M,LMH,FSN,M,3,2,0
Zea hybrids,"Perennial corn, Perennial Maize",Perennial,2.0,8-12,F,LMH,N,M,5,3,3
Zea mays,"Sweet Corn, Corn",Annual,2.0,2-11,F,LMH,N,M,5,3,3
Zelkova schneideriana,Chinese Zelkova,Tree,30.0,6-9,F,LMH,SN,M,0,0, 
Zelkova serrata,"Japanese Zelkova, Saw Leaf Zelkova",Tree,25.0,5-8,F,LMH,SN,M,1,0, 
Zephyranthes atamasca,Atamasco Lily,Bulb,0.3,7-10, ,LMH,N,M,1,0, 
Zieria smithii,Sandfly Bush,Shrub,1.8,-, ,LM,N,M,0,1, 
Zingiber officinale,"Ginger: Common,Cooking Stem, Canton",Perennial,1.5,8-12,F,LMH,SN,M,4,5,2
Zizania aquatica,"Wild Rice, Annual wildrice",Annual,3.5,5-9,F,LMH,N,Wa,5,0, 
Zizania latifolia,Manchurian Wild Rice,Perennial,3.5,0-0, ,LMH,SN,Wa,4,1,2
Zizia aptera,"Meadow zizia, Golden alexanders",Perennial,0.6,4-8,F,LMH,SN,DM,0,1,2
Zizia aurea,"Golden Alexanders, Golden zizia",Perennial,0.8,3-7, ,LMH,N,M,2,1, 
Ziziphus jujuba,Jujube,Tree,10.0,5-10,F,LMH,N,DM,4,3,3
Zostera marina,"Eel Grass, Seawrack",Perennial,1.0,0-0, ,LM,N,Wa,2,1, 
Zoysia japonica,Korean Lawn Grass,Perennial,0.2,0-0, ,LMH,N,M,1,0,0
Zygophyllum fabago,Syrian Bean Caper,Perennial,1.2,7-10, ,LM,N,DM,1,0,0
