Postal Code,Country
USA,U.S. States
AL,Alabama
AK,Alaska
AZ,Arizona
AR,Arkansas
CA,California
CO,Colorado
CT,Connecticut
DE,Delaware
DC,District of Columbia
FL,Florida
GA,Georgia
HI,Hawaii
ID,Idaho
IL,Illinois
IN,Indiana
IA,Iowa
KS,Kansas
KY,Kentucky
LA,Louisiana
ME,Maine
MD,Maryland
MA,Massachusetts
MI,Michigan
MN,Minnesota
MS,Mississippi
MO,Missouri
MT,Montana
NE,Nebraska
NV,Nevada
NH,New Hampshire
NJ,New Jersey
NM,New Mexico
NY,New York
NC,North Carolina
ND,North Dakota
OH,Ohio
OK,Oklahoma
OR,Oregon
PA,Pennsylvania
RI,Rhode Island
SC,South Carolina
SD,South Dakota
TN,Tennessee
TX,Texas
UT,Utah
VT,Vermont
VA,Virginia
WA,Washington
WV,West Virginia
WI,Wisconsin
WY,Wyoming
,
,
USA+,U.S. Territories and Protectorates
NAV,Navassa Island (the sole Caribbean member of the U.S. Minor Outlying Islands)
PR,Puerto Rico
VI,Virgin Islands
,
,
CAN,Canada Provinces and Territories
AB,Alberta
BC,British Columbia
MB,Manitoba
NB,New Brunswick
 ,Newfoundland and Labrador
LB,    Labrador
NF,    Newfoundland
NT,Northwest Territories
NS,Nova Scotia
NU,Nunavut
ON,Ontario
PE,Prince Edward Island
QC,Québec
SK,Saskatchewan
YT,Yukon
,
,
DEN,Denmark
GL,Greenland
,
,
FRA,France
SPM,St. Pierre and Miquelon
