Scientific Name                              ,PLANTS Floristic Area,State and Province,Category,Duration,Growth Habit,Native Status,Active Growth Period,After Harvest Regrowth Rate,Bloom Period
Abelia,NA (L48),"USA(FL, NC)",Dicot,,,L48(I),,,
Abelia ×grandiflora,NA (L48),"USA(FL, NC)",Dicot,Perennial,Shrub,L48(I),"Spring, Summer, Fall",,Late Summer
Abelmoschus,"NA (L48, PB)","USA+(PR, VI), USA(CT, DC, FL, HI, IL, KY, LA, MD, MI, MS, NC, PW, SC, VA)",Dicot,,,L48(I),,,
Abelmoschus esculentus,"NA (L48, GU, PB), PR, VI","USA+(PR, VI), USA(CT, DC, FL, IL, KY, LA, MD, MI, MS, NC, PW, SC, VA)",Dicot,"Annual, Perennial","Subshrub, Forb/herb",L48(I)PR(I)VI(I),,,
Abelmoschus manihot,,USA(PW),Dicot,,,L48(I),,,
Abelmoschus moschatus,"NA (GU, PB), HI,PR","USA+(PR), USA(HI, PW)",Dicot,Perennial,"Subshrub, Shrub",L48(I)HI(I)PR(I),,,
Abies,NA (L48),"CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), FRA(SB), USA(AK, AZ, CA, CO, CT, GA, IA, ID, IN, MA, MD, ME, MI, MN, MT, NC, NH, NJ, NM, NV, NY, OH, OR, PA, RI, TN, UT, VA, VT, WA, WI, WV, WY)",Gymnosperm,,,"L48(I,N)CAN(N)SPM(N)",,,
Abies alba,NA (L48),USA(NC),Gymnosperm,Perennial,Tree,L48(I),,,
Abies amabilis,"NA (L48, AK, CAN)","CAN(BC), USA(AK, CA, OR, WA)",Gymnosperm,Perennial,Tree,L48(N)AK(N)CAN(N),Spring and Summer,,Late Spring
Abies balsamea,"NA (L48, CAN, SPM)","CAN(AB, LB, MB, NB, NF, NS, ON, PE, QC, SK), FRA(SB), USA(CT, IA, IN, MA, MD, ME, MI, MN, NH, NJ, NY, OH, PA, RI, VA, VT, WI, WV)",Gymnosperm,Perennial,Tree,L48(N)CAN(N)SPM(N),Spring and Summer,,Mid Summer
Abies balsamea var. balsamea,"NA (L48, CAN, SPM)","CAN(AB, LB, MB, NB, NF, NS, ON, PE, QC, SK), FRA(SB), USA(CT, IA, IN, MA, MD, ME, MI, MN, NH, NY, OH, PA, RI, VA, VT, WI, WV)",Gymnosperm,Perennial,Tree,L48(N)CAN(N)SPM(N),,,
Abies balsamea var. phanerolepis,"NA (L48, CAN)","CAN(NB, NF, NS, ON, PE, QC), USA(ME, NH, VA, VT, WV)",Gymnosperm,Perennial,Tree,L48(N)CAN(N),,,
Abies bracteata,NA (L48),USA(CA),Gymnosperm,Perennial,Tree,L48(N),,,
Abies concolor,NA (L48),"USA(AZ, CO, ID, MA, ME, NM, NV, OR, UT, WY)",Gymnosperm,Perennial,Tree,L48(N),Spring and Summer,,Late Spring
Abies firma,NA (L48),USA(NC),Gymnosperm,Perennial,Tree,L48(I),,,
Abies fraseri,NA (L48),"USA(GA, NC, TN, VA)",Gymnosperm,Perennial,Tree,L48(N),Spring and Summer,,Mid Spring
Abies grandis,"NA (L48, CAN)","CAN(BC), USA(CA, ID, MT, OR, WA)",Gymnosperm,Perennial,Tree,L48(N)CAN(N),Spring and Summer,,Late Spring
Abies guatemalensis,,,Gymnosperm,Perennial,Tree,,,,
Abies homolepis,NA (L48),USA(NY),Gymnosperm,Perennial,Tree,L48(I),,,
Abies lasiocarpa,"NA (L48, AK, CAN)","CAN(AB, BC, NT, YT), USA(AK, AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY)",Gymnosperm,Perennial,Tree,L48(N)AK(N)CAN(N),Spring and Summer,,Late Spring
Abies lasiocarpa var. arizonica,NA (L48),"USA(AZ, CO, NM)",Gymnosperm,Perennial,Tree,L48(N),,,
Abies lasiocarpa var. lasiocarpa,"NA (L48, AK, CAN)","CAN(AB, BC, NT, YT), USA(AK, AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY)",Gymnosperm,Perennial,Tree,L48(N)AK(N)CAN(N),,,
Abies lowiana,NA (L48),"USA(CA, NV, OR)",Gymnosperm,Perennial,Tree,L48(N),,,
Abies magnifica,NA (L48),"USA(CA, NV, NY, OR)",Gymnosperm,Perennial,Tree,L48(N),Spring and Summer,,Late Spring
Abies magnifica var. magnifica,NA (L48),"USA(CA, OR)",Gymnosperm,Perennial,Tree,L48(N),,,
Abies magnifica var. shastensis,NA (L48),"USA(CA, OR)",Gymnosperm,Perennial,Tree,L48(N),,,
Abies procera,NA (L48),"USA(CA, OR, WA)",Gymnosperm,Perennial,Tree,L48(N),Spring and Summer,,Late Spring
Abies veitchii,,,Gymnosperm,,,,,,
Abietinella,NA (L48),USA(NJ),Moss,,,NA(N),,,
Abietinella abietina,NA (L48),USA(NJ),Moss,,Nonvascular,NA(N),,,
Abildgaardia,"NA (L48, PB)","USA+(PR, VI), USA(FL, PW)",Monocot,,,L48(N),,,
Abildgaardia ovata,"NA (L48, GU, PB), PR, VI","USA+(PR, VI), USA(FL, PW)",Monocot,Perennial,Graminoid,L48(N)PR(N)VI(N),,,
Abroma,,USA(PW),,,,,,,
Abroma augustum,,USA(PW),,Perennial,Shrub,L48(N),,,
Abronia,NA (L48),"CAN(BC), USA(AZ, CA, CO, ID, KS, MT, ND, NE, NM, NV, OK, OR, SD, TX, UT, WA, WY)",Dicot,,,L48(N)CAN(N),,,
Abronia alpina,NA (L48),USA(CA),Dicot,Perennial,Forb/herb,L48(N),,,
Abronia ameliae,NA (L48),USA(TX),Dicot,Perennial,Forb/herb,L48(N),,,
Abronia ammophila,NA (L48),USA(WY),Dicot,Perennial,Forb/herb,L48(N),,,
Abronia angustifolia,NA (L48),"USA(AZ, NM, TX)",Dicot,"Annual, Perennial",Forb/herb,L48(N),,,
Abronia argillosa,NA (L48),"USA(CO, UT)",Dicot,Perennial,Forb/herb,L48(N),,,
Abronia bigelovii,NA (L48),USA(NM),Dicot,Perennial,Forb/herb,L48(N),,,
Abronia bolackii,NA (L48),USA(NM),Dicot,Perennial,Forb/herb,L48(N),,,
Abronia carletonii,NA (L48),"USA(CO, NM, TX)",Dicot,Perennial,Forb/herb,L48(N),,,
Abronia elliptica,NA (L48),"USA(AZ, CO, NM, NV, UT, WY)",Dicot,Perennial,Forb/herb,L48(N),,,
Abronia fragrans,NA (L48),"USA(AZ, CO, KS, MT, ND, NE, NM, OK, SD, TX, UT, WA, WY)",Dicot,Perennial,Forb/herb,L48(N),,,
Abronia gracilis,NA (L48),USA(CA),Dicot,Annual,Forb/herb,L48(N),,,
Abronia insularis,NA (L48),USA(CA),Dicot,Perennial,Forb/herb,L48(N),,,
Abronia latifolia,"NA (L48, CAN)","CAN(BC), USA(CA, OR, WA)",Dicot,Perennial,Forb/herb,L48(N)CAN(N),,,
Abronia macrocarpa,NA (L48),USA(TX),Dicot,Perennial,Forb/herb,L48(N),,,
Abronia maritima,NA (L48),USA(CA),Dicot,Perennial,Forb/herb,L48(N),,,
Abronia mellifera,NA (L48),"USA(ID, OR, UT, WA, WY)",Dicot,Perennial,Forb/herb,L48(N),,,
Abronia minor,NA (L48),USA(CA),Dicot,Perennial,Forb/herb,L48(N),,,
Abronia nana,NA (L48),"USA(AZ, CA, CO, NM, NV, UT)",Dicot,Perennial,Forb/herb,L48(N),,,
Abronia nana var. covillei,NA (L48),"USA(CA, NV)",Dicot,Perennial,Forb/herb,L48(N),,,
Abronia nana var. harrisii,NA (L48),"USA(NM, UT)",Dicot,Perennial,Forb/herb,L48(N),,,
Abronia nana var. nana,NA (L48),"USA(AZ, CA, CO, NV, UT)",Dicot,Perennial,Forb/herb,L48(N),,,
Abronia neurophylla,NA (L48),USA(CA),Dicot,Perennial,Forb/herb,L48(N),,,
Abronia pogonantha,NA (L48),"USA(CA, NV)",Dicot,Annual,Forb/herb,L48(N),,,
Abronia turbinata,NA (L48),"USA(CA, NV, OR)",Dicot,"Annual, Perennial",Forb/herb,L48(N),,,
Abronia umbellata,"NA (L48, CAN)","CAN(BC), USA(CA, OR, WA)",Dicot,Perennial,"Vine, Forb/herb",L48(N)CAN(N),,,
Abronia umbellata ssp. breviflora,"NA (L48, CAN)","CAN(BC), USA(CA, OR, WA)",Dicot,Perennial,"Forb/herb, Vine",L48(N)CAN(N),,,
Abronia umbellata ssp. umbellata,NA (L48),USA(CA),Dicot,Perennial,Forb/herb,L48(N),,,
Abronia villosa,NA (L48),"USA(AZ, CA, NV, UT)",Dicot,Annual,Forb/herb,L48(N),,,
Abronia villosa var. aurita,NA (L48),"USA(AZ, CA)",Dicot,Annual,Forb/herb,L48(N),,,
Abronia villosa var. villosa,NA (L48),"USA(AZ, CA, NV, UT)",Dicot,Annual,Forb/herb,L48(N),,,
Abrothallus,NA (L48),,Lichen,,,NA(N),,,
Abrothallus bertianus,NA (L48),,Lichen,,Lichenous,NA(N),,,
Abrothallus bryoriarum,NA (L48),,Lichen,,Lichenous,NA(N),,,
Abrothallus cetrariae,NA (L48),,Lichen,,Lichenous,NA(N),,,
Abrothallus cladoniae,NA (L48),,Lichen,,Lichenous,NA(N),,,
Abrothallus parmeliarum,NA (L48),,Lichen,,Lichenous,NA(N),,,
Abrothallus peyritschii,NA (L48),,Lichen,,Lichenous,NA(N),,,
Abrothallus prodiens,NA (L48),,Lichen,,Lichenous,NA(N),,,
Abrothallus welwitschii,NA (L48),,Lichen,,Lichenous,NA(N),,,
Abrus,"NA (L48, PB)","USA+(PR, VI), USA(AL, AR, FL, GA, HI, PW)",Dicot,,,L48(I),,,
Abrus precatorius,"NA (L48, GU, PB), HI, PR, VI","USA+(PR, VI), USA(AL, AR, FL, GA, HI, PW)",Dicot,Perennial,Vine,L48(I)HI(I)PR(I)VI(I),,,
Absconditella,NA (L48),,Lichen,,,NA(N),,,
Absconditella sphagnorum,NA (L48),,Lichen,,Lichenous,NA(N),,,
Absconditella trivialis,NA (L48),,Lichen,,Lichenous,NA(N),,,
Abutilon,"NA (L48, PB)","CAN(AB, BC, MB, NB, NS, ON, PE, QC, SK), USA+(PR, VI), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MP, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PW, RI, SC, SD, TN, TX, UM, UT, VA, VT, WA, WI, WV, WY)",Dicot,,,"L48(I,N)CAN(I)",,,
Abutilon abutiloides,"NA (L48), PR, VI","USA+(PR, VI), USA(AZ, TX)",Dicot,Perennial,"Subshrub, Forb/herb",L48(N)PR(N)VI(I),,,
Abutilon auritum,HI,USA(HI),Dicot,Perennial,"Subshrub, Shrub",HI(I),,,
Abutilon berlandieri,NA (L48),USA(TX),Dicot,Perennial,Shrub,L48(N),,,
Abutilon eremitopetalum,HI,USA(HI),Dicot,Perennial,Shrub,HI(N),,,
Abutilon fruticosum,NA (L48),"USA(AR, OK, TX)",Dicot,Perennial,Subshrub,L48(N),,,
Abutilon glabriflorum,,,Dicot,,,,,,
